,OA,Paycheck Mean Income,Mean Net Disposable Income,Mean Gross Disposable Income,Mean Net Disposable Income Band,"CACI_Essential_Outgoings - Income tax, NI","CACI_Essential_Outgoings - Mortgage, social rent, private rent","CACI_Essential_Outgoings - Council tax, utilities, water, structure insurance, NI domestic rates","CACI_Essential_Outgoings - Food, clothing","CACI_Essential_Outgoings - Childcare, student loans, pension",CACI_Essential_Outgoings - Travel to work,Mean over all households in an OA: Income tax - Income tax,Mean over all households in an OA: Income tax - National Insurance,Mean over all households in an OA: Income tax - Mortgage,Mean over all households in an OA: Income tax - Private rent,Mean over all households in an OA: Income tax - Social rent,Mean over all households in an OA: Income tax - Council tax,Mean over all households in an OA: Income tax - Water bills,"Mean over all households in an OA: Income tax - Gas, electricity, oil",Mean over all households in an OA: Income tax - Structure insurance,Mean over all households in an OA: Income tax - Food costs,Mean over all households in an OA: Income tax - Clothing costs,Mean over all households in an OA: Income tax - Childcare,Mean over all households in an OA: Income tax - Student loan,Mean over all households in an OA: Income tax - Pension,Mean over all households in an OA: Income tax - Travel to work,Mean over relevant households in an OA - Income tax,Mean over relevant households in an OA - National Insurance,Mean over relevant households in an OA - Mortgage,Mean over relevant households in an OA - Private rent,Mean over relevant households in an OA - Social rent,Mean over relevant households in an OA - Council tax,Mean over relevant households in an OA - Water bills,"Mean over relevant households in an OA - Gas, electricity, oil",Mean over relevant households in an OA - Structure insurance,Mean over relevant households in an OA - Food costs,Mean over relevant households in an OA - Clothing costs,Mean over relevant households in an OA - Childcare,Mean over relevant households in an OA - Student loan,Mean over relevant households in an OA - Pension,Mean over relevant households in an OA - Travel to work,Proportion of households paying % - Income tax,Proportion of households paying % - National Insurance,Proportion of households paying % - Mortgage,Proportion of households paying % - Private rent,Proportion of households paying % - Social rent,Proportion of households paying % - Council tax,Proportion of households paying % - Water bills,"Proportion of households paying % - Gas, electricity, oil",Proportion of households paying % - Structure insurance,Proportion of households paying % - Food costs,Proportion of households paying % - Clothing costs,Proportion of households paying % - Childcare,Proportion of households paying % - Student loan,Proportion of households paying % - Pension,Proportion of households paying % - Travel to work
176,E00023598,33.733,10.73,27.747,12.5,5.983,8.567,1.663,4.527,1.867,0.4,3.82,2.16,0.423,2.207,5.927,0.497,0.553,0.56,0.053,3.38,1.147,0.99,0.067,0.807,0.4,3.82,2.93,12.45,18.3,7.943,0.583,0.553,0.56,0.387,3.38,1.147,2.143,1.03,1.387,0.703,100.0,74.667,3.667,11.0,75.0,83.0,100.0,100.0,13.667,100.0,100.0,45.0,6.333,57.0,57.0
177,E00023599,38.933,7.63,31.597,9.167,7.337,14.793,1.703,4.213,2.47,0.787,4.47,2.863,0.433,11.71,2.653,0.623,0.523,0.507,0.05,3.08,1.133,1.02,0.157,1.29,0.787,4.47,3.25,3.943,15.4,4.843,0.623,0.523,0.507,0.137,3.08,1.133,1.367,0.98,1.487,0.923,100.0,87.667,3.667,52.333,35.667,99.667,100.0,100.0,11.667,100.0,100.0,79.0,12.667,86.333,86.333
178,E00023600,51.0,7.48,39.86,7.5,11.14,22.505,1.685,4.145,3.135,0.915,6.95,4.195,1.1,21.02,0.385,0.56,0.55,0.475,0.1,2.87,1.27,1.1,0.155,1.875,0.915,6.95,4.555,13.365,29.28,3.865,0.56,0.55,0.475,0.455,2.87,1.27,1.23,1.565,2.04,0.995,100.0,92.5,8.0,72.0,5.0,99.5,100.0,100.0,23.0,100.0,100.0,88.5,10.0,92.0,92.0
179,E00023601,41.543,11.816,33.61,12.5,7.934,11.303,2.079,5.027,2.839,0.549,5.024,2.909,0.503,7.801,2.997,0.756,0.571,0.603,0.156,3.621,1.406,1.401,0.129,1.304,0.549,5.024,3.634,9.99,19.266,5.789,0.766,0.571,0.603,0.461,3.621,1.406,2.074,0.909,1.653,0.696,100.0,79.429,4.286,33.714,35.857,98.571,100.0,100.0,30.286,100.0,100.0,64.0,11.0,78.143,78.143
180,E00023602,43.1,1.983,34.507,2.5,8.593,23.417,1.467,3.887,3.15,0.607,5.203,3.39,0.0,23.13,0.29,0.503,0.49,0.457,0.013,2.77,1.117,1.393,0.213,1.54,0.607,5.203,3.64,0.0,25.19,4.937,0.503,0.49,0.457,0.36,2.77,1.117,1.563,1.32,1.65,0.657,100.0,92.667,0.0,92.0,4.0,100.0,100.0,100.0,4.333,100.0,100.0,89.0,16.667,92.667,92.667
181,E00023603,36.78,6.024,29.86,6.5,6.918,15.064,1.382,3.97,2.696,0.728,4.184,2.732,0.13,12.52,2.412,0.436,0.442,0.482,0.02,2.93,1.038,1.368,0.086,1.242,0.728,4.184,3.088,2.7,21.422,6.638,0.44,0.442,0.482,0.212,2.93,1.038,1.618,0.974,1.424,0.83,100.0,89.0,1.0,54.0,38.8,99.0,100.0,100.0,7.2,100.0,100.0,83.4,8.6,88.0,88.0
182,E00023604,28.267,9.855,24.237,9.167,4.03,6.725,1.385,4.493,1.423,0.357,2.532,1.5,0.205,2.288,4.232,0.41,0.38,0.565,0.032,3.418,1.072,0.767,0.013,0.642,0.357,2.572,2.237,5.5,10.258,5.683,0.435,0.38,0.565,0.145,3.418,1.072,1.985,0.152,1.077,0.652,90.333,59.167,2.0,10.667,75.167,94.5,100.0,100.0,14.167,100.0,100.0,33.833,2.667,52.667,53.0
183,E00023605,40.25,10.282,31.97,10.0,8.28,11.435,1.77,4.33,3.482,0.662,5.06,3.22,1.445,7.655,2.34,0.558,0.532,0.522,0.158,3.158,1.175,1.88,0.145,1.458,0.662,5.06,3.512,12.81,18.398,5.44,0.56,0.532,0.522,0.402,3.158,1.175,2.195,1.31,1.6,0.732,100.0,91.25,11.75,30.25,32.5,99.75,100.0,100.0,37.25,100.0,100.0,85.75,7.5,90.75,90.75
184,E00023606,34.383,8.037,28.315,8.333,6.067,11.713,1.393,4.13,2.535,0.512,3.705,2.36,0.397,9.095,2.223,0.442,0.392,0.513,0.048,3.092,1.035,1.357,0.103,1.07,0.512,3.705,2.798,5.625,19.783,6.247,0.452,0.392,0.513,0.177,3.092,1.035,1.705,0.892,1.303,0.62,100.0,85.5,3.5,48.333,37.0,97.667,100.0,100.0,14.667,100.0,100.0,79.167,12.333,82.833,82.833
185,E00023608,44.433,7.957,35.14,7.5,9.293,17.407,1.547,4.063,3.423,0.753,5.593,3.7,0.617,15.257,1.533,0.51,0.49,0.473,0.07,2.873,1.19,1.62,0.123,1.673,0.753,5.593,3.87,8.713,24.073,7.477,0.51,0.49,0.473,0.29,2.873,1.19,1.727,1.467,1.753,0.787,100.0,95.667,4.667,63.667,20.667,100.0,100.0,100.0,16.0,100.0,100.0,92.667,8.667,95.667,95.667
186,E00023609,36.4,10.88,29.91,11.25,6.49,8.995,1.86,4.862,2.832,0.488,3.965,2.525,1.888,4.418,2.688,0.622,0.498,0.592,0.148,3.595,1.265,1.622,0.07,1.14,0.488,3.965,3.025,12.147,19.608,7.165,0.643,0.498,0.592,0.358,3.595,1.265,2.412,0.785,1.41,0.602,100.0,83.0,16.0,22.25,37.75,97.0,100.0,100.0,40.25,100.0,100.0,66.0,5.25,80.0,80.0
187,E00023610,35.55,13.732,29.302,15.0,6.248,6.69,1.525,4.74,2.055,0.565,3.875,2.372,0.032,1.71,4.948,0.473,0.425,0.578,0.05,3.505,1.233,1.042,0.038,0.975,0.565,3.875,2.988,2.625,4.5,6.375,0.505,0.425,0.578,0.212,3.505,1.233,1.778,0.405,1.368,0.785,100.0,80.5,0.25,9.5,78.5,91.75,100.0,100.0,12.0,100.0,100.0,58.5,5.25,71.5,71.5
188,E00023611,33.35,14.41,27.57,12.5,5.78,5.435,1.41,3.925,1.925,0.465,3.745,2.035,0.465,0.925,4.045,0.41,0.43,0.485,0.09,2.915,1.005,0.865,0.125,0.935,0.465,3.745,3.04,5.815,11.54,6.26,0.41,0.43,0.485,0.14,2.915,1.005,1.695,0.69,1.405,0.74,100.0,58.5,4.0,4.0,64.5,100.0,100.0,100.0,31.5,100.0,100.0,51.5,9.0,58.5,58.5
189,E00023612,34.889,11.247,28.787,11.944,6.102,8.318,1.608,4.632,2.386,0.6,3.777,2.326,0.452,3.329,4.537,0.562,0.436,0.571,0.04,3.457,1.174,1.289,0.037,1.06,0.6,3.783,2.963,6.378,13.276,5.873,0.566,0.436,0.571,0.162,3.457,1.174,2.081,0.453,1.38,0.793,99.778,78.667,3.889,17.111,68.111,99.667,100.0,100.0,14.778,100.0,100.0,65.444,4.222,77.111,77.222
190,E00023613,33.95,9.525,28.44,10.0,5.51,10.34,1.43,4.145,2.455,0.55,3.39,2.115,0.52,6.715,3.11,0.475,0.405,0.515,0.04,3.105,1.04,1.21,0.245,1.0,0.55,3.39,2.585,4.675,19.21,6.265,0.475,0.405,0.515,0.245,3.105,1.04,1.965,0.97,1.225,0.68,100.0,81.5,5.5,35.5,50.0,99.5,100.0,100.0,15.0,100.0,100.0,64.5,29.5,81.0,81.0
191,E00023614,44.771,3.509,35.571,3.929,9.2,21.891,1.699,4.534,3.259,0.687,5.636,3.56,0.241,21.03,0.62,0.621,0.506,0.531,0.043,3.207,1.329,1.564,0.134,1.56,0.687,5.636,3.733,1.929,25.147,3.096,0.634,0.506,0.531,0.317,3.207,1.329,1.744,1.346,1.673,0.746,100.0,95.286,1.857,82.714,8.571,97.714,100.0,100.0,8.714,100.0,100.0,86.429,8.143,93.0,93.0
192,E00023615,31.4,9.092,26.46,8.5,4.94,9.456,1.51,4.154,1.764,0.488,3.166,1.774,1.046,4.97,3.44,0.506,0.422,0.52,0.058,3.152,1.006,0.922,0.024,0.818,0.488,3.166,2.594,7.08,11.812,6.48,0.512,0.422,0.52,0.224,3.152,1.006,1.99,0.376,1.222,0.74,100.0,67.2,8.8,25.4,55.2,98.8,100.0,100.0,19.4,100.0,100.0,50.8,3.8,66.0,66.0
193,E00023616,47.2,11.09,36.98,10.0,10.22,16.655,1.45,4.175,2.9,0.71,6.45,3.77,0.6,14.845,1.21,0.42,0.455,0.48,0.095,2.91,1.265,1.02,0.205,1.675,0.71,6.45,4.27,12.25,26.655,7.175,0.42,0.455,0.48,0.345,2.91,1.265,1.24,1.56,1.92,0.805,100.0,88.5,5.0,56.0,16.5,99.0,100.0,100.0,27.5,100.0,100.0,83.0,13.0,87.5,87.5
194,E00023617,39.423,2.286,31.521,2.885,7.902,20.477,1.312,3.964,2.942,0.542,4.759,3.142,0.081,20.13,0.265,0.429,0.398,0.475,0.01,2.874,1.089,1.44,0.108,1.395,0.542,4.76,3.385,3.112,21.865,5.163,0.445,0.398,0.475,0.164,2.874,1.089,1.632,1.286,1.544,0.602,100.0,92.692,0.846,91.923,4.538,97.462,100.0,100.0,3.769,100.0,100.0,88.077,8.692,90.154,90.154
195,E00023618,60.1,6.913,45.312,6.5,14.787,27.573,1.902,4.817,3.366,0.739,9.901,4.886,0.568,26.965,0.042,0.746,0.541,0.535,0.08,3.242,1.577,0.953,0.306,2.109,0.739,9.901,5.235,5.453,31.751,1.514,0.753,0.541,0.535,0.431,3.242,1.577,1.067,1.914,2.278,0.803,100.0,93.5,4.1,86.1,0.6,99.4,100.0,100.0,13.3,100.0,100.0,87.2,11.6,92.7,92.7
196,E00023619,54.156,5.57,41.758,6.944,12.398,23.78,2.372,5.368,3.959,0.709,7.918,4.48,0.514,22.374,0.891,1.073,0.616,0.621,0.06,3.762,1.607,1.718,0.313,1.929,0.709,7.919,4.701,7.986,26.859,3.567,1.1,0.616,0.621,0.602,3.762,1.607,2.031,2.012,2.087,0.794,100.0,94.0,3.667,78.222,12.0,97.556,100.0,100.0,9.778,100.0,100.0,87.444,13.444,90.333,90.333
197,E00023620,57.04,6.496,43.408,7.5,13.63,26.37,2.064,4.766,3.042,0.67,9.072,4.556,0.386,25.948,0.036,0.726,0.626,0.528,0.184,3.198,1.568,0.684,0.474,1.884,0.67,9.072,4.9,2.7,31.87,1.548,0.764,0.626,0.528,0.54,3.198,1.568,0.884,2.278,2.14,0.762,100.0,93.4,2.8,83.8,0.4,95.0,100.0,100.0,15.8,100.0,100.0,79.6,21.0,88.4,88.4
198,E00023621,51.9,4.41,40.052,5.0,11.85,26.032,1.568,4.328,2.97,0.748,7.453,4.395,0.528,25.333,0.172,0.47,0.538,0.495,0.068,2.99,1.34,0.875,0.17,1.93,0.748,7.453,4.68,3.375,29.64,2.042,0.477,0.538,0.495,0.268,2.99,1.34,0.962,1.455,2.078,0.802,100.0,94.25,4.0,86.5,2.0,98.75,100.0,100.0,11.5,100.0,100.0,90.75,8.75,92.75,92.75
199,E00023622,69.631,26.752,52.325,26.154,17.307,11.651,3.481,6.408,3.477,0.554,12.775,4.533,1.221,10.43,0.0,1.066,0.739,0.673,1.002,4.082,2.329,1.164,0.452,1.864,0.554,12.775,5.328,6.115,24.242,0.0,1.066,0.739,0.673,1.342,4.082,2.329,1.608,1.98,2.242,0.662,100.0,78.769,9.308,32.462,0.0,100.0,100.0,100.0,67.615,100.0,100.0,61.615,13.923,77.308,77.308
200,E00023623,60.7,10.56,45.218,10.833,15.482,22.237,2.606,5.467,3.783,0.563,10.778,4.704,1.194,20.968,0.076,0.962,0.637,0.597,0.411,3.612,1.853,1.452,0.339,1.993,0.563,10.778,5.006,5.162,28.665,1.622,0.97,0.637,0.597,1.023,3.612,1.853,1.639,2.39,2.145,0.61,100.0,93.5,9.0,69.5,1.167,99.333,100.0,100.0,29.333,100.0,100.0,87.167,14.167,92.5,92.5
201,E00023624,54.843,7.173,42.664,7.5,12.179,25.737,1.894,4.503,2.924,0.429,8.29,3.891,0.673,25.064,0.0,0.631,0.566,0.503,0.196,3.041,1.461,0.837,0.373,1.717,0.429,8.29,4.937,5.786,30.886,0.0,0.631,0.566,0.503,0.544,3.041,1.461,1.093,2.061,2.18,0.546,100.0,77.429,5.0,81.0,0.0,100.0,100.0,100.0,19.0,100.0,100.0,68.429,14.143,77.429,77.429
202,E00023625,64.031,16.284,48.112,16.731,15.918,19.519,2.765,5.429,3.505,0.61,11.356,4.563,1.545,17.867,0.108,0.934,0.732,0.586,0.51,3.551,1.88,1.322,0.287,1.893,0.61,11.356,5.286,7.267,34.229,1.153,0.962,0.732,0.586,0.929,3.551,1.88,1.695,2.295,2.282,0.733,100.0,86.385,11.385,51.615,1.462,97.462,100.0,100.0,47.0,100.0,100.0,79.538,11.692,83.462,83.462
203,E00023626,55.825,4.472,42.682,5.0,13.142,27.662,1.743,4.583,3.44,0.788,8.485,4.658,0.082,27.58,0.0,0.622,0.545,0.513,0.068,3.102,1.475,1.15,0.282,2.005,0.788,8.485,4.838,3.375,30.518,0.0,0.63,0.545,0.513,0.617,3.102,1.475,1.278,2.465,2.117,0.832,100.0,96.25,0.5,90.75,0.0,98.5,100.0,100.0,9.25,100.0,100.0,89.75,11.75,94.75,94.75
204,E00023627,49.08,6.11,37.832,7.5,11.248,21.81,1.834,4.588,3.004,0.488,7.926,3.32,0.33,21.458,0.022,0.688,0.524,0.522,0.1,3.16,1.428,1.226,0.374,1.406,0.488,7.926,3.924,4.106,26.538,0.774,0.704,0.524,0.522,0.378,3.16,1.428,1.71,2.2,1.694,0.574,100.0,87.0,2.8,82.6,0.6,98.2,100.0,100.0,16.8,100.0,100.0,77.4,17.6,85.0,85.0
205,E00023628,57.667,3.517,44.397,2.5,13.27,29.567,1.877,4.85,3.807,0.777,8.527,4.747,0.477,29.09,0.0,0.687,0.577,0.54,0.07,3.283,1.57,1.28,0.473,2.057,0.777,8.527,4.887,9.0,32.37,0.0,0.69,0.577,0.54,0.703,3.283,1.57,1.41,2.25,2.147,0.81,100.0,97.0,3.667,90.0,0.0,99.333,100.0,100.0,10.0,100.0,100.0,90.333,21.0,95.667,95.667
206,E00023629,60.137,11.287,45.108,11.875,15.03,23.454,2.149,4.837,2.839,0.541,10.666,4.366,0.24,23.195,0.02,0.775,0.631,0.526,0.214,3.2,1.639,0.853,0.176,1.809,0.541,10.666,4.931,6.75,31.381,0.914,0.788,0.631,0.526,0.705,3.2,1.639,0.956,2.126,2.042,0.663,100.0,84.5,1.75,65.5,0.25,96.875,100.0,100.0,34.25,100.0,100.0,75.875,6.375,81.0,81.0
207,E00023630,58.567,5.623,44.457,5.833,14.11,29.063,1.577,3.997,3.37,0.823,9.213,4.9,0.23,28.833,0.0,0.507,0.54,0.447,0.083,2.687,1.307,0.963,0.263,2.15,0.823,9.213,5.14,9.0,33.5,0.0,0.507,0.54,0.447,0.587,2.687,1.307,1.047,2.627,2.253,0.863,100.0,95.333,1.667,86.0,0.0,100.0,100.0,100.0,14.0,100.0,100.0,91.333,9.667,95.333,95.333
208,E00023631,65.812,20.806,49.335,20.625,16.478,16.942,2.556,5.132,3.191,0.709,11.578,4.898,0.882,15.946,0.114,0.926,0.685,0.559,0.385,3.383,1.75,0.86,0.241,2.093,0.709,11.578,5.606,10.77,34.096,1.384,0.932,0.685,0.559,0.744,3.383,1.75,1.062,2.722,2.41,0.821,100.0,87.25,6.125,46.25,1.0,99.5,100.0,100.0,52.75,100.0,100.0,79.625,7.125,86.75,86.75
209,E00023632,68.217,22.93,51.247,22.5,16.97,16.002,3.08,5.518,3.163,0.552,12.025,4.943,1.78,14.22,0.0,0.932,0.735,0.582,0.827,3.527,1.993,0.908,0.207,2.048,0.552,12.025,5.985,11.25,30.615,0.0,0.96,0.735,0.582,1.157,3.527,1.993,1.422,2.265,2.597,0.702,100.0,83.167,13.167,38.833,0.0,97.333,100.0,100.0,61.167,100.0,100.0,66.167,7.833,79.667,79.667
210,E00023633,64.69,17.26,48.962,18.5,15.728,19.847,2.724,5.284,3.362,0.49,11.135,4.592,0.599,19.248,0.0,0.918,0.713,0.566,0.527,3.431,1.851,1.116,0.301,1.944,0.49,11.135,5.398,6.75,31.896,0.0,0.938,0.713,0.566,0.905,3.431,1.851,1.398,2.529,2.353,0.59,100.0,84.8,4.5,56.3,0.0,98.6,100.0,100.0,43.8,100.0,100.0,77.3,10.1,82.9,82.9
211,E00023634,79.45,30.331,58.427,28.75,21.023,14.125,3.893,6.42,3.152,0.504,15.818,5.207,1.33,12.788,0.011,1.235,0.834,0.649,1.174,3.938,2.482,0.731,0.391,2.033,0.504,15.818,6.434,8.891,31.282,0.669,1.268,0.834,0.649,1.647,3.938,2.482,1.213,2.527,2.672,0.664,100.0,81.333,9.917,29.75,0.167,97.5,100.0,100.0,70.25,100.0,100.0,56.0,10.667,76.5,76.5
212,E00023635,60.667,3.577,45.583,4.167,15.083,31.9,1.667,4.267,3.413,0.76,10.07,5.01,0.297,31.6,0.0,0.55,0.59,0.467,0.06,2.83,1.433,0.863,0.377,2.173,0.76,10.07,5.217,13.5,34.96,0.0,0.55,0.59,0.467,0.617,2.83,1.433,0.913,2.813,2.267,0.793,100.0,96.0,2.0,90.667,0.0,100.0,100.0,100.0,9.333,100.0,100.0,94.333,14.0,96.0,96.0
213,E00023636,57.988,3.51,44.42,3.75,13.569,29.829,1.988,4.852,3.405,0.835,8.956,4.612,0.062,29.766,0.0,0.741,0.62,0.54,0.089,3.275,1.578,1.045,0.349,2.01,0.835,8.956,4.875,1.688,32.822,0.0,0.742,0.62,0.54,0.525,3.275,1.578,1.179,2.058,2.131,0.888,100.0,94.75,0.5,90.75,0.0,99.75,100.0,100.0,9.25,100.0,100.0,88.25,15.125,94.5,94.5
214,E00023637,64.738,24.48,48.311,24.808,16.428,12.214,3.103,5.305,2.763,0.442,12.006,4.425,0.727,11.471,0.019,0.993,0.757,0.569,0.785,3.441,1.865,0.725,0.279,1.757,0.442,12.006,5.479,6.15,32.407,1.171,1.039,0.757,0.569,1.117,3.441,1.865,1.094,2.535,2.348,0.593,100.0,80.769,5.462,33.385,0.308,96.462,100.0,100.0,66.538,100.0,100.0,62.615,10.538,75.462,75.462
215,E00023638,49.233,19.187,38.683,20.833,10.547,10.797,1.763,3.967,2.257,0.72,6.767,3.78,1.387,6.337,3.073,0.533,0.587,0.453,0.187,2.743,1.22,0.483,0.073,1.697,0.72,6.767,4.37,13.167,28.537,7.287,0.533,0.587,0.453,0.473,2.743,1.22,0.703,1.183,1.96,0.833,100.0,86.0,10.667,22.0,42.333,100.0,100.0,100.0,36.0,100.0,100.0,71.667,4.333,86.0,86.0
216,E00023639,62.767,6.273,47.253,5.833,15.517,30.913,2.003,4.493,2.927,0.64,10.9,4.617,0.487,30.427,0.0,0.71,0.67,0.487,0.14,2.947,1.55,0.727,0.237,1.963,0.64,10.9,5.363,13.5,36.063,0.0,0.717,0.67,0.487,0.887,2.947,1.55,0.893,2.543,2.297,0.75,100.0,86.0,3.667,84.667,0.0,99.333,100.0,100.0,15.333,100.0,100.0,81.0,9.667,85.333,85.333
217,E00023640,68.886,24.367,50.989,24.643,17.897,14.324,2.969,5.407,3.356,0.567,12.843,5.051,0.901,13.421,0.0,0.853,0.721,0.57,0.824,3.459,1.949,1.033,0.273,2.049,0.567,12.843,5.724,6.857,30.836,0.0,0.881,0.721,0.57,1.171,3.459,1.949,1.276,2.933,2.471,0.684,100.0,88.714,7.429,38.143,0.0,97.143,100.0,100.0,61.857,100.0,100.0,75.429,8.0,83.857,83.857
218,E00023641,73.712,24.636,54.0,24.688,19.712,15.694,3.121,5.904,3.78,0.866,14.201,5.51,1.204,14.49,0.0,0.991,0.722,0.611,0.8,3.7,2.202,1.24,0.202,2.335,0.866,14.201,6.088,11.812,34.036,0.0,0.991,0.722,0.611,1.278,3.7,2.202,1.564,1.428,2.581,0.959,100.0,91.0,9.0,39.625,0.0,100.0,100.0,100.0,60.625,100.0,100.0,80.875,7.75,91.0,91.0
219,E00023643,62.8,6.847,47.883,7.5,14.917,28.587,2.08,5.087,4.563,0.72,10.19,4.723,0.25,28.337,0.0,0.793,0.613,0.553,0.12,3.367,1.72,1.707,0.817,2.043,0.72,10.19,5.28,4.5,34.527,0.0,0.797,0.613,0.553,0.47,3.367,1.72,1.87,2.827,2.29,0.813,100.0,90.667,2.0,84.0,0.0,99.667,100.0,100.0,16.0,100.0,100.0,87.667,30.0,90.333,90.333
220,E00023644,43.857,2.817,34.676,3.214,9.181,22.754,1.566,4.231,2.694,0.613,5.689,3.491,0.177,22.531,0.046,0.547,0.493,0.503,0.02,3.044,1.19,1.127,0.156,1.407,0.613,5.691,3.82,5.017,23.724,0.78,0.601,0.493,0.503,0.313,3.044,1.19,1.447,1.243,1.716,0.754,100.0,91.143,1.429,94.429,0.857,90.857,100.0,100.0,4.857,100.0,100.0,77.143,11.429,81.429,81.429
221,E00023646,38.175,12.63,31.02,12.5,7.155,9.392,1.81,4.742,2.03,0.418,4.635,2.52,0.34,2.82,6.23,0.625,0.558,0.57,0.057,3.455,1.285,0.895,0.047,1.088,0.418,4.635,3.53,6.75,9.52,7.703,0.645,0.558,0.57,0.64,3.455,1.285,1.63,0.86,1.625,0.648,100.0,68.25,2.5,11.5,80.0,97.0,100.0,100.0,8.5,100.0,100.0,51.5,3.75,63.75,63.75
222,E00023647,48.23,11.002,37.357,11.5,10.873,16.602,2.162,4.824,2.306,0.462,7.249,3.624,0.618,15.912,0.071,0.727,0.611,0.55,0.276,3.322,1.501,0.83,0.223,1.254,0.462,7.249,4.27,7.2,27.1,1.85,0.846,0.611,0.55,0.576,3.322,1.501,1.4,1.808,1.854,0.687,100.0,85.9,5.0,63.2,1.1,85.1,100.0,100.0,35.8,100.0,100.0,61.0,12.8,69.6,69.6
223,E00023648,49.69,12.515,38.907,12.5,10.784,16.133,2.093,4.797,2.86,0.511,7.196,3.587,0.353,15.765,0.014,0.736,0.571,0.547,0.24,3.314,1.484,1.151,0.155,1.553,0.511,7.196,4.378,6.329,27.32,0.511,0.746,0.571,0.547,0.533,3.314,1.484,1.611,1.801,1.94,0.639,100.0,81.8,2.7,60.1,0.3,98.5,100.0,100.0,39.6,100.0,100.0,71.2,8.1,80.2,80.2
224,E00023649,42.991,5.111,33.857,6.591,9.133,19.875,1.712,4.139,2.5,0.524,5.714,3.418,0.415,17.925,1.533,0.63,0.522,0.487,0.074,2.949,1.191,0.833,0.145,1.522,0.524,5.714,3.754,3.349,21.123,3.863,0.631,0.522,0.487,0.469,2.949,1.191,1.031,0.953,1.69,0.595,100.0,89.818,3.364,68.818,20.727,99.818,100.0,100.0,10.364,100.0,100.0,81.636,8.727,88.727,88.727
225,E00023650,64.375,14.988,49.202,15.0,15.172,21.115,2.508,5.525,4.388,0.675,10.148,5.022,3.122,17.995,0.0,0.878,0.612,0.592,0.428,3.577,1.948,1.46,0.745,2.18,0.675,10.148,5.342,13.5,30.868,0.0,0.883,0.612,0.592,0.99,3.577,1.948,1.825,2.572,2.332,0.722,100.0,93.75,23.0,59.5,0.0,99.25,100.0,100.0,40.5,100.0,100.0,81.0,27.0,93.0,93.0
226,E00023651,60.5,16.905,45.987,17.5,14.513,16.995,2.76,5.46,3.222,0.65,10.24,4.273,0.457,16.54,0.0,1.013,0.698,0.6,0.442,3.64,1.818,1.185,0.185,1.852,0.65,10.24,5.212,9.0,34.382,0.0,1.013,0.698,0.6,0.883,3.64,1.818,1.65,2.565,2.263,0.803,100.0,84.0,3.333,51.833,0.0,100.0,100.0,100.0,48.333,100.0,100.0,75.833,6.833,84.0,84.0
227,E00023652,67.125,13.672,50.835,13.75,16.29,25.758,2.495,5.545,2.975,0.382,11.92,4.37,0.84,24.917,0.0,0.788,0.745,0.588,0.375,3.572,1.975,0.658,0.61,1.708,0.382,11.92,5.385,6.75,37.55,0.0,0.832,0.745,0.588,1.132,3.572,1.975,1.012,3.708,2.3,0.518,100.0,79.0,6.25,66.75,0.0,94.25,100.0,100.0,33.25,100.0,100.0,59.75,15.5,70.75,70.75
228,E00023653,55.3,3.62,41.98,2.5,13.32,29.07,1.42,3.86,3.19,0.82,8.46,4.86,0.37,28.7,0.0,0.45,0.51,0.43,0.03,2.63,1.23,0.82,0.22,2.14,0.82,8.46,4.96,13.5,31.27,0.0,0.45,0.51,0.43,0.36,2.63,1.23,0.85,2.72,2.19,0.84,100.0,98.0,3.0,92.0,0.0,100.0,100.0,100.0,8.0,100.0,100.0,97.0,8.0,98.0,98.0
229,E00023655,62.225,14.845,46.773,15.0,15.452,21.392,1.925,4.385,3.342,0.885,10.582,4.87,0.725,20.668,0.0,0.598,0.61,0.478,0.235,2.9,1.482,0.802,0.432,2.108,0.885,10.582,5.35,10.125,35.09,0.0,0.598,0.61,0.478,0.56,2.9,1.482,0.943,2.575,2.325,0.99,100.0,91.0,5.25,58.5,0.0,100.0,100.0,100.0,41.5,100.0,100.0,87.5,18.25,91.0,91.0
230,E00023656,56.05,7.855,42.417,7.5,13.635,23.838,1.977,4.605,3.427,0.715,9.0,4.633,0.462,23.345,0.028,0.707,0.587,0.513,0.17,3.115,1.49,1.185,0.24,2.002,0.715,9.0,4.832,10.83,30.718,1.007,0.717,0.587,0.513,0.625,3.115,1.49,1.303,2.27,2.108,0.753,100.0,95.667,3.5,77.5,0.5,99.0,100.0,100.0,22.0,100.0,100.0,90.833,12.0,94.667,94.667
231,E00023657,67.919,21.71,50.857,22.031,17.061,16.439,3.413,5.454,3.353,0.489,12.502,4.56,0.728,15.666,0.044,1.08,0.821,0.58,0.931,3.509,1.946,1.129,0.314,1.91,0.489,12.502,5.281,5.171,33.522,0.543,1.093,0.821,0.58,1.464,3.509,1.946,1.334,1.265,2.235,0.572,100.0,79.938,5.312,40.0,0.5,99.0,100.0,100.0,59.5,100.0,100.0,68.625,11.125,78.938,78.938
232,E00023658,66.35,21.93,49.72,22.5,16.629,15.025,4.091,6.111,2.278,0.287,12.766,3.862,1.497,13.476,0.052,1.174,0.818,0.652,1.449,3.937,2.175,0.693,0.108,1.479,0.287,12.766,5.492,7.863,32.251,0.635,1.222,0.818,0.652,2.443,3.937,2.175,1.16,0.992,2.155,0.404,100.0,69.75,11.083,36.917,0.667,96.083,100.0,100.0,62.417,100.0,100.0,51.667,5.667,62.583,62.583
