,OA,Paycheck Mean Income,Mean Net Disposable Income,Mean Gross Disposable Income,Mean Net Disposable Income Band,"CACI_Essential_Outgoings - Income tax, NI","CACI_Essential_Outgoings - Mortgage, social rent, private rent","CACI_Essential_Outgoings - Council tax, utilities, water, structure insurance, NI domestic rates","CACI_Essential_Outgoings - Food, clothing","CACI_Essential_Outgoings - Childcare, student loans, pension",CACI_Essential_Outgoings - Travel to work,Mean over all households in an OA: Income tax - Income tax,Mean over all households in an OA: Income tax - National Insurance,Mean over all households in an OA: Income tax - Mortgage,Mean over all households in an OA: Income tax - Private rent,Mean over all households in an OA: Income tax - Social rent,Mean over all households in an OA: Income tax - Council tax,Mean over all households in an OA: Income tax - Water bills,"Mean over all households in an OA: Income tax - Gas, electricity, oil",Mean over all households in an OA: Income tax - Structure insurance,Mean over all households in an OA: Income tax - Food costs,Mean over all households in an OA: Income tax - Clothing costs,Mean over all households in an OA: Income tax - Childcare,Mean over all households in an OA: Income tax - Student loan,Mean over all households in an OA: Income tax - Pension,Mean over all households in an OA: Income tax - Travel to work,Mean over relevant households in an OA - Income tax,Mean over relevant households in an OA - National Insurance,Mean over relevant households in an OA - Mortgage,Mean over relevant households in an OA - Private rent,Mean over relevant households in an OA - Social rent,Mean over relevant households in an OA - Council tax,Mean over relevant households in an OA - Water bills,"Mean over relevant households in an OA - Gas, electricity, oil",Mean over relevant households in an OA - Structure insurance,Mean over relevant households in an OA - Food costs,Mean over relevant households in an OA - Clothing costs,Mean over relevant households in an OA - Childcare,Mean over relevant households in an OA - Student loan,Mean over relevant households in an OA - Pension,Mean over relevant households in an OA - Travel to work,Proportion of households paying % - Income tax,Proportion of households paying % - National Insurance,Proportion of households paying % - Mortgage,Proportion of households paying % - Private rent,Proportion of households paying % - Social rent,Proportion of households paying % - Council tax,Proportion of households paying % - Water bills,"Proportion of households paying % - Gas, electricity, oil",Proportion of households paying % - Structure insurance,Proportion of households paying % - Food costs,Proportion of households paying % - Clothing costs,Proportion of households paying % - Childcare,Proportion of households paying % - Student loan,Proportion of households paying % - Pension,Proportion of households paying % - Travel to work
503,E00023942,68.925,5.568,50.427,7.5,18.498,32.835,2.212,5.14,4.13,0.54,13.142,5.35,0.422,32.415,0.0,0.76,0.695,0.548,0.21,3.328,1.812,0.958,1.057,2.118,0.54,13.142,5.35,3.375,36.848,0.0,0.85,0.695,0.548,0.42,3.328,1.812,1.06,3.898,2.248,0.57,100.0,100.0,3.25,87.5,0.0,93.75,100.0,100.0,12.5,100.0,100.0,90.75,25.25,93.75,93.75
504,E00023943,50.692,14.824,39.205,15.833,11.486,13.468,2.189,4.99,2.97,0.767,7.708,3.777,0.32,11.947,1.201,0.808,0.561,0.568,0.25,3.433,1.559,1.054,0.264,1.651,0.767,7.708,4.376,2.637,17.778,2.148,0.816,0.561,0.568,0.347,3.433,1.559,1.392,1.378,1.942,0.934,100.0,84.833,3.25,44.833,17.5,99.167,100.0,100.0,37.75,100.0,100.0,71.5,9.75,83.833,83.833
505,E00023944,28.571,10.22,24.466,9.643,4.103,7.057,1.394,3.916,1.426,0.454,2.756,1.349,0.0,0.164,6.893,0.439,0.459,0.493,0.0,2.993,0.919,0.781,0.004,0.641,0.454,2.756,2.407,0.0,2.783,6.95,0.439,0.459,0.493,0.0,2.993,0.919,1.534,0.089,1.157,0.82,100.0,55.857,0.0,0.857,99.143,100.0,100.0,100.0,0.0,100.0,100.0,49.286,1.714,55.0,55.0
506,E00023945,65.65,28.352,48.816,28.026,16.834,8.914,3.266,5.327,2.515,0.442,12.246,4.588,0.93,7.908,0.076,0.988,0.73,0.562,0.988,3.403,1.924,0.658,0.343,1.515,0.442,12.246,5.365,5.968,23.327,2.016,1.133,0.73,0.562,1.176,3.403,1.924,1.222,2.066,2.246,0.649,100.0,83.368,8.0,24.105,1.158,86.947,100.0,100.0,74.895,100.0,100.0,48.526,10.526,66.526,66.526
507,E00023946,59.357,9.9,44.659,10.326,14.697,23.544,2.521,4.97,3.177,0.547,10.176,4.521,0.679,22.709,0.157,1.033,0.647,0.542,0.301,3.277,1.694,0.93,0.347,1.897,0.547,10.176,4.867,5.677,32.397,2.217,1.044,0.647,0.542,0.643,3.277,1.694,1.111,2.15,2.074,0.603,100.0,87.174,5.435,71.087,2.348,98.87,100.0,100.0,26.565,100.0,100.0,81.087,14.174,86.0,86.0
508,E00023947,53.327,13.029,41.62,13.182,11.706,17.975,2.025,5.224,2.785,0.58,7.945,3.763,0.33,16.645,1.004,0.751,0.559,0.591,0.125,3.581,1.644,0.891,0.26,1.636,0.58,7.945,4.783,5.155,21.535,2.893,0.754,0.559,0.591,0.325,3.581,1.644,1.574,1.675,2.097,0.755,100.0,76.545,2.273,56.182,12.909,99.818,100.0,100.0,30.909,100.0,100.0,65.364,9.182,75.818,75.818
509,E00023948,60.556,5.726,45.506,6.389,15.049,28.542,1.978,4.987,3.716,0.558,10.229,4.819,0.174,27.489,0.879,0.767,0.598,0.551,0.061,3.326,1.663,1.297,0.369,2.052,0.558,10.229,5.026,5.333,30.414,0.879,0.777,0.598,0.551,0.417,3.326,1.663,1.464,2.642,2.168,0.597,100.0,95.556,1.333,80.222,11.111,98.889,100.0,100.0,8.667,100.0,100.0,91.333,13.667,94.444,94.444
510,E00023949,40.546,12.658,32.826,13.269,7.72,11.49,1.673,4.363,2.142,0.5,4.974,2.748,0.186,6.255,5.051,0.586,0.534,0.521,0.03,3.158,1.205,0.821,0.076,1.248,0.5,4.979,3.629,3.104,12.135,5.295,0.589,0.534,0.521,0.129,3.158,1.205,1.39,0.555,1.656,0.675,99.846,74.154,1.385,25.231,66.0,99.769,100.0,100.0,8.769,100.0,100.0,60.769,4.462,73.846,73.923
511,E00023950,23.8,9.241,20.75,8.929,3.051,6.003,1.111,3.401,0.746,0.25,2.079,0.969,0.0,0.143,5.86,0.281,0.4,0.434,0.0,2.631,0.774,0.351,0.003,0.391,0.25,2.107,2.201,0.0,1.716,5.927,0.29,0.4,0.434,0.0,2.631,0.774,1.121,0.061,1.039,0.691,98.0,39.714,0.0,1.143,98.857,97.0,100.0,100.0,0.0,100.0,100.0,27.429,0.857,34.143,34.143
512,E00023951,39.8,14.01,32.507,14.167,7.296,9.394,2.237,4.679,1.776,0.41,5.117,2.18,0.123,3.422,5.848,0.906,0.698,0.564,0.068,3.42,1.259,0.744,0.071,0.96,0.41,5.117,3.659,3.112,13.91,7.63,0.924,0.698,0.564,0.123,3.42,1.259,1.757,0.469,1.684,0.729,100.0,57.111,0.889,12.778,76.556,97.778,100.0,100.0,10.556,100.0,100.0,43.333,2.889,54.889,54.889
