,OA,[total] - worker_count,[total] - student_count,[total] - tourist_count,[total] - shopper_count,[total] - leisurer_count,[total] - chorer_count,[total] - total_count,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - total_count,[%_of_borough_total] - [per_effective_area_square_meter] - worker,[%_of_borough_total] - [per_effective_area_square_meter] - student,[%_of_borough_total] - [per_effective_area_square_meter] - tourist,[%_of_borough_total] - [per_effective_area_square_meter] - shopper,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[%_of_borough_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - chorer
363,E00024117,1367.947,169.242,165.608,219.174,207.981,149.959,2279.911,5.439,0.673,0.658,0.871,0.827,0.596,9.065,0.138,0.121,0.135,0.111,0.117,0.153,0.138,0.121,0.135,0.111,0.117,0.153
364,E00024040,345.309,57.068,37.809,50.839,46.083,46.934,584.043,4.068,0.672,0.445,0.599,0.543,0.553,6.881,0.103,0.121,0.091,0.076,0.077,0.142,0.103,0.121,0.091,0.076,0.077,0.142
365,E00023939,2946.863,301.829,591.889,671.466,439.96,243.358,5195.365,8.67,0.888,1.741,1.976,1.294,0.716,15.286,0.22,0.16,0.356,0.251,0.184,0.183,0.22,0.16,0.356,0.251,0.184,0.183
366,E00175250,2068.752,420.158,416.176,382.16,551.691,237.505,4076.443,2.613,0.531,0.526,0.483,0.697,0.3,5.149,0.066,0.096,0.108,0.061,0.099,0.077,0.066,0.096,0.108,0.061,0.099,0.077
367,E00023676,476.559,120.688,73.336,50.34,62.202,51.249,834.373,1.888,0.478,0.291,0.199,0.246,0.203,3.306,0.048,0.086,0.06,0.025,0.035,0.052,0.048,0.086,0.06,0.025,0.035,0.052
368,E00023730,509.436,72.979,85.759,89.526,147.639,54.538,959.878,7.928,1.136,1.335,1.393,2.297,0.849,14.937,0.201,0.205,0.273,0.177,0.326,0.218,0.201,0.205,0.273,0.177,0.326,0.218
369,E00023487,991.158,134.03,106.995,184.203,187.11,109.448,1712.944,7.494,1.013,0.809,1.393,1.415,0.827,12.951,0.19,0.182,0.165,0.177,0.201,0.212,0.19,0.182,0.165,0.177,0.201,0.212
370,E00024058,1100.18,127.658,140.263,182.058,228.129,103.326,1881.615,7.541,0.875,0.961,1.248,1.564,0.708,12.897,0.191,0.158,0.197,0.158,0.222,0.182,0.191,0.158,0.197,0.158,0.222,0.182
371,E00023968,326.491,75.911,46.904,51.683,85.368,33.981,620.338,3.934,0.915,0.565,0.623,1.029,0.409,7.474,0.1,0.165,0.115,0.079,0.146,0.105,0.1,0.165,0.115,0.079,0.146,0.105
372,E00024054,2543.852,315.991,303.801,485.827,462.283,234.336,4346.09,10.964,1.362,1.309,2.094,1.992,1.01,18.731,0.278,0.246,0.268,0.266,0.283,0.259,0.278,0.246,0.268,0.266,0.283,0.259
373,E00023935,4994.828,568.91,1022.512,1070.134,1035.257,436.572,9128.213,9.986,1.137,2.044,2.139,2.07,0.873,18.249,0.253,0.205,0.418,0.271,0.294,0.224,0.253,0.205,0.418,0.271,0.294,0.224
374,E00023597,178.909,29.575,11.664,15.999,21.042,20.354,277.542,1.654,0.273,0.108,0.148,0.195,0.188,2.566,0.042,0.049,0.022,0.019,0.027,0.048,0.042,0.049,0.022,0.019,0.027,0.048
375,E00023516,846.532,123.24,126.023,164.249,154.832,85.688,1500.563,7.342,1.069,1.093,1.424,1.343,0.743,13.014,0.186,0.193,0.224,0.181,0.19,0.191,0.186,0.193,0.224,0.181,0.19,0.191
376,E00023965,578.103,123.982,74.043,101.485,122.376,59.71,1059.699,3.159,0.678,0.405,0.555,0.669,0.326,5.791,0.08,0.122,0.083,0.07,0.095,0.084,0.08,0.122,0.083,0.07,0.095,0.084
377,E00023494,1469.302,233.476,218.402,305.806,335.811,179.463,2742.259,9.031,1.435,1.342,1.88,2.064,1.103,16.856,0.229,0.259,0.275,0.239,0.293,0.283,0.229,0.259,0.275,0.239,0.293,0.283
378,E00023415,520.513,72.67,56.095,111.47,99.397,59.688,919.833,2.047,0.286,0.221,0.438,0.391,0.235,3.617,0.052,0.051,0.045,0.056,0.055,0.06,0.052,0.051,0.045,0.056,0.055,0.06
379,E00023467,404.419,53.322,60.599,114.224,101.053,48.554,782.171,3.256,0.429,0.488,0.92,0.814,0.391,6.298,0.083,0.077,0.1,0.117,0.115,0.1,0.083,0.077,0.1,0.117,0.115,0.1
380,E00023670,508.684,69.549,61.34,44.184,78.3,46.018,808.075,2.419,0.331,0.292,0.21,0.372,0.219,3.843,0.061,0.059,0.06,0.027,0.053,0.056,0.061,0.059,0.06,0.027,0.053,0.056
381,E00023490,1763.946,237.876,172.812,247.44,304.624,167.117,2893.816,7.091,0.956,0.695,0.995,1.225,0.672,11.632,0.18,0.172,0.142,0.126,0.174,0.172,0.18,0.172,0.142,0.126,0.174,0.172
382,E00175263,182.506,23.853,17.885,20.154,17.123,19.94,281.462,2.14,0.28,0.21,0.236,0.201,0.234,3.3,0.054,0.05,0.043,0.03,0.029,0.06,0.054,0.05,0.043,0.03,0.029,0.06
383,E00023748,284.444,79.524,40.339,63.524,54.848,34.389,557.067,2.545,0.712,0.361,0.568,0.491,0.308,4.985,0.064,0.128,0.074,0.072,0.07,0.079,0.064,0.128,0.074,0.072,0.07,0.079
384,E00024057,772.24,78.43,102.145,173.794,156.28,74.34,1357.23,6.673,0.678,0.883,1.502,1.351,0.642,11.729,0.169,0.122,0.18,0.19,0.192,0.164,0.169,0.122,0.18,0.19,0.192,0.164
385,E00023557,1033.059,160.12,139.422,289.585,175.214,111.67,1909.07,7.497,1.162,1.012,2.102,1.272,0.81,13.855,0.19,0.209,0.207,0.267,0.18,0.208,0.19,0.209,0.207,0.267,0.18,0.208
386,E00024043,354.755,61.148,48.265,69.042,69.706,45.079,647.994,4.214,0.726,0.573,0.82,0.828,0.535,7.697,0.107,0.131,0.117,0.104,0.117,0.137,0.107,0.131,0.117,0.104,0.117,0.137
387,E00023853,140.422,29.976,9.767,16.691,11.99,15.559,224.405,1.396,0.298,0.097,0.166,0.119,0.155,2.231,0.035,0.054,0.02,0.021,0.017,0.04,0.035,0.054,0.02,0.021,0.017,0.04
388,E00023685,476.062,53.092,59.35,73.637,98.686,58.132,818.959,4.623,0.516,0.576,0.715,0.958,0.565,7.953,0.117,0.093,0.118,0.091,0.136,0.145,0.117,0.093,0.118,0.091,0.136,0.145
389,E00023604,396.474,63.063,39.805,60.786,58.702,40.98,659.811,3.027,0.481,0.304,0.464,0.448,0.313,5.037,0.077,0.087,0.062,0.059,0.064,0.08,0.077,0.087,0.062,0.059,0.064,0.08
390,E00024136,1870.825,196.116,256.427,572.165,321.095,153.485,3370.114,11.862,1.243,1.626,3.628,2.036,0.973,21.368,0.3,0.224,0.333,0.46,0.289,0.25,0.3,0.224,0.333,0.46,0.289,0.25
391,E00023455,308.05,48.829,36.552,72.283,75.731,36.067,577.512,2.531,0.401,0.3,0.594,0.622,0.296,4.744,0.064,0.072,0.061,0.075,0.088,0.076,0.064,0.072,0.061,0.075,0.088,0.076
392,E00023916,266.728,62.267,25.68,55.956,48.537,30.653,489.821,3.177,0.742,0.306,0.666,0.578,0.365,5.834,0.08,0.134,0.063,0.085,0.082,0.093,0.08,0.134,0.063,0.085,0.082,0.093
393,E00023986,510.963,58.103,62.069,108.682,91.196,49.743,880.757,6.463,0.735,0.785,1.375,1.153,0.629,11.14,0.164,0.133,0.16,0.174,0.164,0.161,0.164,0.133,0.16,0.174,0.164,0.161
394,E00023987,343.824,42.547,48.953,62.599,80.72,33.134,611.776,5.629,0.697,0.802,1.025,1.322,0.543,10.017,0.143,0.126,0.164,0.13,0.188,0.139,0.143,0.126,0.164,0.13,0.188,0.139
395,E00024098,420.841,68.076,50.839,107.07,75.022,48.277,770.126,4.585,0.742,0.554,1.166,0.817,0.526,8.39,0.116,0.134,0.113,0.148,0.116,0.135,0.116,0.134,0.113,0.148,0.116,0.135
396,E00023653,307.256,29.573,29.412,27.414,46.164,26.736,466.555,3.85,0.371,0.369,0.344,0.579,0.335,5.847,0.098,0.067,0.075,0.044,0.082,0.086,0.098,0.067,0.075,0.044,0.082,0.086
397,E00175258,127.361,13.764,26.42,16.514,36.945,12.191,233.195,1.94,0.21,0.402,0.252,0.563,0.186,3.552,0.049,0.038,0.083,0.032,0.08,0.048,0.049,0.038,0.083,0.032,0.08,0.048
398,E00024039,342.61,58.17,43.504,68.144,73.356,42.541,628.325,4.484,0.761,0.569,0.892,0.96,0.557,8.223,0.114,0.137,0.117,0.113,0.136,0.143,0.114,0.137,0.117,0.113,0.136,0.143
399,E00023524,899.546,106.549,91.881,183.099,152.432,86.607,1520.114,10.152,1.202,1.037,2.066,1.72,0.977,17.155,0.257,0.217,0.212,0.262,0.244,0.251,0.257,0.217,0.212,0.262,0.244,0.251
400,E00024062,307.898,30.131,44.679,61.142,72.378,32.952,549.182,5.407,0.529,0.785,1.074,1.271,0.579,9.644,0.137,0.095,0.16,0.136,0.18,0.148,0.137,0.095,0.16,0.136,0.18,0.148
401,E00024028,448.13,99.379,71.826,96.132,81.47,48.884,845.821,3.491,0.774,0.56,0.749,0.635,0.381,6.59,0.088,0.14,0.115,0.095,0.09,0.098,0.088,0.14,0.115,0.095,0.09,0.098
402,E00023539,221.692,37.949,29.274,36.643,32.233,25.906,383.698,1.475,0.253,0.195,0.244,0.215,0.172,2.554,0.037,0.046,0.04,0.031,0.03,0.044,0.037,0.046,0.04,0.031,0.03,0.044
