,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,[per_effective_area_square_meter] - worker_units,[per_effective_area_square_meter] - student_units,[per_effective_area_square_meter] - tourist_units,[per_effective_area_square_meter] - shopper_units,[per_effective_area_square_meter] - leisurer_units,[per_effective_area_square_meter] - chorer_units,[%_of_borough_total] - [per_effective_area_square_meter] - worker_units,[%_of_borough_total] - [per_effective_area_square_meter] - student_units,[%_of_borough_total] - [per_effective_area_square_meter] - tourist_units,[%_of_borough_total] - [per_effective_area_square_meter] - shopper_units,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_borough_total] - [per_effective_area_square_meter] - chorer_units,[per_effective_area_square_meter] - total_units,[%_of_OA_total] - [per_effective_area_square_meter] - worker_units,[%_of_OA_total] - [per_effective_area_square_meter] - student_units,[%_of_OA_total] - [per_effective_area_square_meter] - tourist_units,[%_of_OA_total] - [per_effective_area_square_meter] - shopper_units,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_OA_total] - [per_effective_area_square_meter] - chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value,[per_effective_area_square_meter] - worker_value,[per_effective_area_square_meter] - student_value,[per_effective_area_square_meter] - tourist_value,[per_effective_area_square_meter] - shopper_value,[per_effective_area_square_meter] - leisurer_value,[per_effective_area_square_meter] - chorer_value,[per_effective_area_square_meter] - total_value
25,E00023767,46.041,24.953,29.543,31.113,34.945,45.272,0.54,0.293,0.347,0.365,0.41,0.531,0.064,0.057,0.074,0.074,0.073,0.053,2.486,21.722,11.786,13.958,14.682,16.492,21.36,81.195,44.006,52.1,54.869,61.627,79.839,373.637,0.953,0.517,0.612,0.644,0.723,0.937,4.386
26,E00023908,19.403,13.063,7.724,11.017,10.466,18.567,0.316,0.213,0.126,0.18,0.171,0.303,0.037,0.041,0.027,0.037,0.03,0.03,1.309,24.141,16.272,9.626,13.751,13.063,23.147,34.218,23.037,13.622,19.429,18.457,32.744,141.507,0.558,0.376,0.222,0.317,0.301,0.534,2.307
27,E00023475,115.369,86.086,57.379,61.267,61.696,158.179,1.133,0.845,0.563,0.601,0.606,1.553,0.133,0.164,0.12,0.123,0.108,0.155,5.301,21.373,15.94,10.621,11.337,11.432,29.296,203.458,151.816,101.19,108.047,108.804,278.956,952.272,1.997,1.49,0.993,1.061,1.068,2.738,9.348
28,E00023634,89.545,49.271,56.122,53.421,48.082,103.662,0.514,0.283,0.322,0.306,0.276,0.595,0.06,0.055,0.069,0.062,0.049,0.059,2.296,22.387,12.326,14.024,13.328,12.021,25.915,157.917,86.892,98.974,94.21,84.795,182.813,705.599,0.906,0.498,0.568,0.54,0.486,1.049,4.048
29,E00023727,178.397,107.0,104.332,109.473,123.866,209.96,1.279,0.767,0.748,0.785,0.888,1.506,0.151,0.149,0.16,0.16,0.158,0.15,5.973,21.413,12.841,12.523,13.142,14.867,25.213,314.611,188.699,183.994,193.06,218.443,370.274,1469.082,2.256,1.353,1.319,1.384,1.566,2.655,10.534
30,E00024066,65.431,36.585,33.031,34.19,39.225,88.695,1.179,0.659,0.595,0.616,0.707,1.598,0.139,0.128,0.127,0.126,0.125,0.159,5.354,22.021,12.309,11.113,11.505,13.205,29.847,115.39,64.519,58.252,60.296,69.175,156.418,524.049,2.079,1.162,1.049,1.086,1.246,2.818,9.44
31,E00023991,73.49,40.226,42.016,37.325,51.65,87.239,0.982,0.538,0.562,0.499,0.69,1.166,0.116,0.105,0.12,0.102,0.122,0.116,4.437,22.132,12.125,12.666,11.246,15.551,26.279,129.603,70.94,74.097,65.824,91.087,153.85,585.401,1.732,0.948,0.99,0.88,1.217,2.056,7.824
32,E00023910,31.837,19.121,11.01,19.533,14.009,31.154,0.265,0.159,0.092,0.162,0.116,0.259,0.031,0.031,0.02,0.033,0.021,0.026,1.053,25.166,15.1,8.737,15.385,11.016,24.596,56.146,33.721,19.417,34.447,24.705,54.941,223.378,0.467,0.28,0.161,0.286,0.205,0.457,1.857
33,E00175215,202.69,126.583,127.077,151.793,148.434,253.959,1.451,0.906,0.91,1.087,1.063,1.818,0.171,0.176,0.194,0.222,0.189,0.181,7.235,20.055,12.522,12.578,15.024,14.692,25.128,357.453,223.235,224.106,267.694,261.77,447.868,1782.125,2.559,1.598,1.605,1.917,1.874,3.207,12.76
34,E00023800,72.998,48.347,49.003,52.034,53.582,80.877,0.553,0.366,0.371,0.394,0.406,0.612,0.065,0.071,0.079,0.08,0.072,0.061,2.702,20.466,13.546,13.731,14.582,15.026,22.65,128.735,85.262,86.419,91.764,94.494,142.63,629.305,0.975,0.646,0.654,0.695,0.715,1.08,4.765
35,E00023920,207.911,126.637,129.366,117.199,160.26,214.02,1.452,0.884,0.903,0.818,1.119,1.494,0.171,0.172,0.193,0.167,0.199,0.149,6.67,21.769,13.253,13.538,12.264,16.777,22.399,366.66,223.33,228.143,206.686,282.626,377.434,1684.878,2.56,1.559,1.593,1.443,1.973,2.635,11.764
36,E00023831,310.531,203.21,160.394,186.473,182.626,385.607,2.7,1.767,1.395,1.621,1.588,3.353,0.318,0.344,0.298,0.331,0.282,0.334,12.424,21.732,14.222,11.228,13.047,12.782,26.988,547.635,358.37,282.862,328.853,322.069,680.035,2519.824,4.762,3.116,2.46,2.859,2.8,5.913,21.91
37,E00023485,48.429,25.774,23.62,27.263,33.171,55.749,0.931,0.495,0.454,0.524,0.638,1.072,0.11,0.096,0.097,0.107,0.113,0.107,4.114,22.63,12.032,11.035,12.737,15.508,26.057,85.407,45.454,41.655,48.08,58.499,98.316,377.409,1.642,0.874,0.801,0.924,1.125,1.89,7.255
38,E00024021,31.649,15.078,11.372,16.014,14.194,40.101,0.389,0.185,0.14,0.197,0.174,0.492,0.046,0.036,0.03,0.04,0.031,0.049,1.577,24.667,11.731,8.878,12.492,11.034,31.198,55.814,26.591,20.055,28.241,25.032,70.72,226.453,0.685,0.326,0.246,0.347,0.307,0.868,2.78
39,E00023738,51.524,36.495,31.485,32.462,30.826,71.726,0.507,0.359,0.31,0.319,0.303,0.706,0.06,0.07,0.066,0.065,0.054,0.07,2.504,20.248,14.337,12.38,12.74,12.101,28.195,90.865,64.361,55.525,57.248,54.363,126.492,448.854,0.894,0.633,0.546,0.563,0.535,1.245,4.418
40,E00023912,45.258,25.346,15.957,25.94,20.015,43.055,0.412,0.23,0.145,0.236,0.182,0.391,0.048,0.045,0.031,0.048,0.032,0.039,1.596,25.815,14.411,9.085,14.787,11.404,24.499,79.814,44.699,28.141,45.746,35.297,75.929,309.627,0.726,0.406,0.256,0.416,0.321,0.69,2.815
41,E00023423,33.161,24.498,18.225,21.063,27.479,43.851,0.338,0.25,0.186,0.215,0.28,0.447,0.04,0.049,0.04,0.044,0.05,0.045,1.716,19.697,14.569,10.839,12.529,16.317,26.049,58.481,43.203,32.141,37.146,48.46,77.333,296.764,0.596,0.44,0.328,0.379,0.494,0.788,3.025
42,E00023488,181.713,112.118,104.499,105.347,122.368,231.743,1.33,0.82,0.765,0.771,0.895,1.696,0.157,0.159,0.163,0.157,0.159,0.169,6.277,21.188,13.064,12.187,12.283,14.258,27.019,320.459,197.725,184.289,185.784,215.801,408.689,1512.747,2.345,1.447,1.349,1.36,1.579,2.991,11.07
43,E00023500,278.333,164.335,157.598,155.375,191.014,300.99,2.094,1.236,1.186,1.169,1.437,2.264,0.246,0.24,0.253,0.238,0.255,0.226,9.386,22.31,13.169,12.636,12.455,15.31,24.121,490.853,289.812,277.931,274.011,336.862,530.809,2200.277,3.693,2.18,2.091,2.062,2.534,3.994,16.554
44,E00175275,85.996,46.798,37.254,50.347,43.848,91.968,0.611,0.333,0.265,0.358,0.312,0.654,0.072,0.065,0.057,0.073,0.055,0.065,2.533,24.122,13.146,10.462,14.133,12.317,25.819,151.658,82.53,65.699,88.789,77.328,162.19,628.194,1.078,0.587,0.467,0.631,0.55,1.153,4.465
45,E00023503,208.19,124.996,119.969,112.075,153.69,259.58,1.567,0.941,0.903,0.843,1.157,1.953,0.184,0.183,0.193,0.172,0.205,0.195,7.364,21.279,12.778,12.262,11.448,15.712,26.521,367.152,220.436,211.571,197.649,271.039,457.781,1725.628,2.763,1.659,1.592,1.487,2.04,3.445,12.986
46,E00175243,52.354,30.768,27.823,25.459,26.747,61.782,0.495,0.291,0.263,0.241,0.253,0.584,0.058,0.057,0.056,0.049,0.045,0.058,2.127,23.272,13.681,12.365,11.331,11.895,27.457,92.329,54.261,49.067,44.898,47.17,108.955,396.679,0.872,0.513,0.464,0.424,0.446,1.029,3.747
47,E00175246,42.323,26.867,27.184,25.394,33.413,55.222,0.321,0.204,0.206,0.193,0.254,0.419,0.038,0.04,0.044,0.039,0.045,0.042,1.597,20.1,12.774,12.899,12.085,15.905,26.237,74.638,47.381,47.94,44.783,58.925,97.386,371.055,0.567,0.36,0.364,0.34,0.447,0.739,2.816
48,E00024095,70.226,39.422,32.888,45.652,38.911,85.368,0.676,0.38,0.317,0.44,0.375,0.822,0.08,0.074,0.068,0.09,0.067,0.082,3.01,22.458,12.625,10.532,14.618,12.458,27.309,123.847,69.522,57.999,80.509,68.621,150.55,551.049,1.193,0.67,0.559,0.775,0.661,1.45,5.308
49,E00023756,115.228,74.193,53.665,72.986,67.746,118.365,0.84,0.541,0.391,0.532,0.494,0.863,0.099,0.105,0.083,0.109,0.088,0.086,3.661,22.945,14.777,10.68,14.532,13.494,23.573,203.21,130.843,94.641,128.714,119.473,208.742,885.622,1.482,0.954,0.69,0.938,0.871,1.522,6.457
50,E00024014,142.864,84.78,76.563,81.643,93.852,156.298,1.718,1.02,0.921,0.982,1.129,1.88,0.202,0.198,0.197,0.2,0.2,0.187,7.65,22.458,13.333,12.039,12.837,14.758,24.575,251.947,149.513,135.022,143.981,165.512,275.638,1121.614,3.03,1.798,1.624,1.732,1.991,3.315,13.489
51,E00023620,234.073,132.075,153.238,147.529,188.494,284.63,1.545,0.872,1.012,0.974,1.244,1.879,0.182,0.17,0.216,0.199,0.221,0.187,7.526,20.529,11.587,13.447,12.942,16.529,24.967,412.798,232.92,270.242,260.174,332.417,501.958,2010.509,2.725,1.538,1.784,1.718,2.195,3.314,13.274
52,E00023520,190.031,115.416,114.042,104.177,134.001,209.555,2.144,1.302,1.287,1.175,1.512,2.364,0.252,0.253,0.275,0.24,0.268,0.236,9.784,21.913,13.307,13.154,12.009,15.454,24.162,335.128,203.541,201.118,183.721,236.317,369.559,1529.384,3.781,2.296,2.269,2.073,2.666,4.169,17.255
53,E00024125,221.903,115.351,122.094,106.922,144.795,266.682,2.454,1.276,1.35,1.182,1.601,2.949,0.289,0.248,0.288,0.241,0.284,0.294,10.812,22.697,11.802,12.486,10.932,14.808,27.275,391.336,203.427,215.318,188.562,255.352,470.305,1724.3,4.328,2.25,2.381,2.085,2.824,5.201,19.07
54,E00024063,83.505,56.51,47.085,59.334,60.338,105.877,0.79,0.535,0.446,0.562,0.571,1.002,0.093,0.104,0.095,0.115,0.101,0.1,3.906,20.225,13.697,11.418,14.388,14.619,25.653,147.265,99.658,83.036,104.638,106.409,186.719,727.725,1.394,0.943,0.786,0.99,1.007,1.767,6.887
55,E00024105,102.566,60.399,64.931,50.054,81.754,106.938,0.527,0.31,0.333,0.257,0.42,0.549,0.062,0.06,0.071,0.052,0.075,0.055,2.396,21.995,12.938,13.898,10.726,17.529,22.913,180.88,106.516,114.509,88.272,144.177,188.59,822.944,0.929,0.547,0.588,0.453,0.74,0.969,4.227
56,E00023932,691.753,379.084,365.554,366.67,434.083,800.145,2.812,1.541,1.486,1.49,1.764,3.252,0.331,0.3,0.317,0.304,0.313,0.324,12.345,22.778,12.483,12.037,12.07,14.289,26.343,1219.937,668.531,644.671,646.639,765.525,1411.091,5356.393,4.958,2.717,2.62,2.628,3.111,5.735,21.771
