,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value
765,E00023567,163.833,100.606,81.303,93.232,101.019,201.67,288.927,177.423,143.381,164.419,178.151,355.654,1307.955
766,E00023659,72.083,41.944,40.366,37.558,45.157,97.186,127.122,73.97,71.187,66.235,79.636,171.392,589.542
767,E00023684,68.125,42.927,33.453,41.827,43.551,77.875,120.141,75.704,58.996,73.764,76.804,137.336,542.745
768,E00023460,43.027,26.362,26.414,21.769,27.203,55.968,75.88,46.491,46.582,38.391,47.974,98.702,354.019
769,E00023456,30.973,20.656,20.164,15.801,13.082,32.339,54.622,36.428,35.56,27.866,23.071,57.031,234.578
770,E00023745,92.078,52.295,45.092,53.844,53.302,89.444,162.384,92.225,79.522,94.956,94.0,157.738,680.825
771,E00023787,60.522,36.541,37.604,40.446,40.379,75.101,106.733,64.442,66.316,71.328,71.21,132.444,512.474
772,E00023555,36.596,21.818,16.3,21.61,19.049,43.732,64.539,38.477,28.746,38.11,33.594,77.123,280.589
773,E00023470,96.196,67.021,52.952,51.49,58.162,125.212,169.646,118.194,93.383,90.805,102.571,220.817,795.417
774,E00024017,51.714,25.598,28.547,28.582,38.107,52.834,91.2,45.143,50.344,50.406,67.203,93.175,397.471
775,E00023501,160.422,101.192,100.283,95.069,130.689,196.258,282.911,178.457,176.853,167.658,230.476,346.11,1382.465
776,E00023587,51.754,39.239,25.417,35.217,26.127,68.509,91.27,69.2,44.824,62.107,46.076,120.819,434.296
777,E00024112,978.991,488.587,523.751,474.098,639.783,1071.288,1726.494,861.645,923.658,836.093,1128.286,1889.264,7365.439
778,E00023648,253.643,135.781,156.973,143.532,182.531,278.961,447.311,239.456,276.829,253.125,321.901,491.96,2030.582
779,E00023428,52.899,40.477,28.519,45.872,34.39,60.642,93.29,71.383,50.295,80.897,60.648,106.945,463.458
780,E00023692,59.052,31.321,32.458,39.397,40.824,67.812,104.141,55.236,57.241,69.478,71.995,119.589,477.681
781,E00023472,92.413,64.598,46.034,50.534,53.827,126.635,162.974,113.921,81.183,89.119,94.926,223.326,765.45
