,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
645,E00023558,46.6,9.255,12.327,13.655,12.091,6.073,46.6,9.255,12.327,13.655,12.091,6.073
646,E00024032,54.862,7.804,10.539,9.807,11.533,5.456,54.862,7.804,10.539,9.807,11.533,5.456
647,E00023486,51.165,9.221,12.782,10.143,10.963,5.725,51.165,9.221,12.782,10.143,10.963,5.725
648,E00023419,46.562,20.768,5.832,7.871,8.63,10.337,46.562,20.768,5.832,7.871,8.63,10.337
649,E00023997,42.322,13.766,14.066,7.475,16.275,6.096,42.322,13.766,14.066,7.475,16.275,6.096
650,E00023900,51.248,5.559,15.145,3.715,18.349,5.984,51.248,5.559,15.145,3.715,18.349,5.984
651,E00023891,50.606,7.986,11.439,11.887,11.545,6.537,50.606,7.986,11.439,11.887,11.545,6.537
652,E00023810,57.099,11.497,5.787,12.037,7.176,6.404,57.099,11.497,5.787,12.037,7.176,6.404
653,E00023432,52.27,22.438,7.134,3.113,7.782,7.263,52.27,22.438,7.134,3.113,7.782,7.263
654,E00023844,57.75,6.9,9.574,11.18,9.901,4.695,57.75,6.9,9.574,11.18,9.901,4.695
655,E00023613,41.877,5.588,14.401,14.634,16.64,6.86,41.877,5.588,14.401,14.634,16.64,6.86
656,E00023692,53.278,6.556,13.437,3.839,17.313,5.578,53.278,6.556,13.437,3.839,17.313,5.578
657,E00023903,61.493,10.102,7.467,4.612,9.81,6.515,61.493,10.102,7.467,4.612,9.81,6.515
658,E00175236,45.188,8.337,8.958,19.579,10.133,7.805,45.188,8.337,8.958,19.579,10.133,7.805
659,E00023665,49.734,9.624,9.525,12.051,12.001,7.064,49.734,9.624,9.525,12.051,12.001,7.064
660,E00023869,39.342,21.126,7.596,14.588,8.768,8.579,39.342,21.126,7.596,14.588,8.768,8.579
661,E00023650,39.765,7.573,17.478,6.748,22.204,6.232,39.765,7.573,17.478,6.748,22.204,6.232
662,E00023614,49.077,9.887,10.989,9.006,12.145,8.896,49.077,9.887,10.989,9.006,12.145,8.896
663,E00023695,42.341,11.445,14.73,9.312,15.84,6.332,42.341,11.445,14.73,9.312,15.84,6.332
664,E00175219,59.834,5.589,10.939,6.136,8.823,8.68,59.834,5.589,10.939,6.136,8.823,8.68
665,E00023709,45.321,18.332,10.63,4.519,12.922,8.275,45.321,18.332,10.63,4.519,12.922,8.275
666,E00023788,41.034,13.086,9.801,16.855,11.362,7.862,41.034,13.086,9.801,16.855,11.362,7.862
667,E00024123,52.875,10.474,10.903,10.138,9.146,6.464,52.875,10.474,10.903,10.138,9.146,6.464
668,E00023623,49.355,7.726,13.581,9.547,12.987,6.803,49.355,7.726,13.581,9.547,12.987,6.803
669,E00023590,45.836,13.984,8.173,14.73,8.484,8.794,45.836,13.984,8.173,14.73,8.484,8.794
670,E00023511,46.811,17.187,6.483,11.074,9.844,8.6,46.811,17.187,6.483,11.074,9.844,8.6
671,E00024099,37.464,33.156,8.002,6.812,7.345,7.222,37.464,33.156,8.002,6.812,7.345,7.222
672,E00024041,51.303,7.362,12.071,7.773,12.323,9.168,51.303,7.362,12.071,7.773,12.323,9.168
673,E00023504,50.142,9.872,11.132,8.889,11.522,8.442,50.142,9.872,11.132,8.889,11.522,8.442
674,E00023972,41.026,12.277,18.182,8.858,15.929,3.73,41.026,12.277,18.182,8.858,15.929,3.73
675,E00023668,51.187,4.563,11.076,15.897,11.72,5.557,51.187,4.563,11.076,15.897,11.72,5.557
676,E00023573,45.609,10.026,11.971,16.204,9.625,6.565,45.609,10.026,11.971,16.204,9.625,6.565
677,E00175212,60.799,5.288,10.899,6.864,10.785,5.364,60.799,5.288,10.899,6.864,10.785,5.364
678,E00024091,39.94,26.626,11.891,6.204,8.488,6.85,39.94,26.626,11.891,6.204,8.488,6.85
679,E00024010,56.457,7.037,9.949,7.576,11.27,7.711,56.457,7.037,9.949,7.576,11.27,7.711
