,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
248,E00023945,54.716,8.514,12.087,8.616,10.739,5.329,54.716,8.514,12.087,8.616,10.739,5.329
249,E00023545,56.985,11.504,6.931,8.753,8.432,7.395,56.985,11.504,6.931,8.753,8.432,7.395
250,E00023821,71.547,5.678,4.456,6.648,7.285,4.385,71.547,5.678,4.456,6.648,7.285,4.385
251,E00023863,59.875,9.611,6.391,9.226,9.082,5.815,59.875,9.611,6.391,9.226,9.082,5.815
252,E00023956,57.864,8.542,7.046,13.094,8.995,4.458,57.864,8.542,7.046,13.094,8.995,4.458
253,E00024072,57.666,7.511,6.952,10.863,10.18,6.828,57.666,7.511,6.952,10.863,10.18,6.828
254,E00023969,54.527,10.882,7.27,8.96,12.827,5.534,54.527,10.882,7.27,8.96,12.827,5.534
255,E00023476,53.33,6.684,7.432,13.827,12.838,5.888,53.33,6.684,7.432,13.827,12.838,5.888
256,E00023663,57.49,7.739,5.887,14.29,8.071,6.523,57.49,7.739,5.887,14.29,8.071,6.523
257,E00023572,53.204,7.211,7.293,17.591,8.713,5.987,53.204,7.211,7.293,17.591,8.713,5.987
258,E00024129,63.455,6.652,5.64,11.674,7.827,4.752,63.455,6.652,5.64,11.674,7.827,4.752
259,E00023479,49.581,8.501,8.229,15.121,12.65,5.917,49.581,8.501,8.229,15.121,12.65,5.917
260,E00023815,60.163,8.043,6.536,9.318,10.667,5.273,60.163,8.043,6.536,9.318,10.667,5.273
261,E00023611,51.159,6.671,8.199,15.643,11.886,6.443,51.159,6.671,8.199,15.643,11.886,6.443
262,E00023690,61.928,8.401,5.654,9.639,7.754,6.624,61.928,8.401,5.654,9.639,7.754,6.624
263,E00023894,57.533,8.2,5.792,12.073,10.901,5.5,57.533,8.2,5.792,12.073,10.901,5.5
264,E00023921,55.24,8.479,8.982,10.869,10.681,5.749,55.24,8.479,8.982,10.869,10.681,5.749
265,E00024090,51.089,21.848,5.347,7.195,8.383,6.139,51.089,21.848,5.347,7.195,8.383,6.139
266,E00024093,55.722,9.349,6.245,11.107,10.583,6.993,55.722,9.349,6.245,11.107,10.583,6.993
267,E00023493,58.048,7.441,7.209,9.616,10.786,6.9,58.048,7.441,7.209,9.616,10.786,6.9
