,OA,[total] - worker_count,[total] - student_count,[total] - tourist_count,[total] - shopper_count,[total] - leisurer_count,[total] - chorer_count,[total] - total_count,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - total_count,[%_of_borough_total] - [per_effective_area_square_meter] - worker,[%_of_borough_total] - [per_effective_area_square_meter] - student,[%_of_borough_total] - [per_effective_area_square_meter] - tourist,[%_of_borough_total] - [per_effective_area_square_meter] - shopper,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[%_of_borough_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - chorer
584,E00024130,3211.438,397.187,494.837,659.161,639.761,284.417,5686.801,12.166,1.505,1.875,2.497,2.424,1.077,21.544,0.326,0.284,0.3,0.339,0.284,0.28,0.326,0.284,0.3,0.339,0.284,0.28
585,E00023470,371.066,75.533,76.494,119.342,110.58,44.818,797.833,2.887,0.588,0.595,0.928,0.86,0.349,6.207,0.077,0.111,0.095,0.126,0.101,0.091,0.077,0.111,0.095,0.126,0.101,0.091
586,E00023596,506.13,76.74,92.523,141.967,125.193,67.216,1009.768,4.357,0.661,0.796,1.222,1.078,0.579,8.692,0.117,0.125,0.128,0.166,0.126,0.151,0.117,0.125,0.128,0.166,0.126,0.151
587,E00023517,1048.529,153.122,170.353,264.338,217.933,109.698,1963.973,5.351,0.781,0.869,1.349,1.112,0.56,10.023,0.143,0.148,0.139,0.183,0.13,0.146,0.143,0.148,0.139,0.183,0.13,0.146
588,E00023878,160.612,24.052,13.842,20.531,16.116,12.391,247.544,1.512,0.226,0.13,0.193,0.152,0.117,2.33,0.041,0.043,0.021,0.026,0.018,0.031,0.041,0.043,0.021,0.026,0.018,0.031
589,E00023669,2097.028,254.449,444.041,638.845,596.012,231.885,4262.259,4.723,0.573,1.0,1.439,1.342,0.522,9.6,0.127,0.108,0.16,0.195,0.157,0.136,0.127,0.108,0.16,0.195,0.157,0.136
590,E00023480,320.712,69.508,71.468,54.052,114.477,37.552,667.769,2.444,0.53,0.545,0.412,0.872,0.286,5.089,0.066,0.1,0.087,0.056,0.102,0.074,0.066,0.1,0.087,0.056,0.102,0.074
591,E00023454,319.627,32.371,34.207,41.751,39.44,27.862,495.258,3.239,0.328,0.347,0.423,0.4,0.282,5.019,0.087,0.062,0.056,0.057,0.047,0.073,0.087,0.062,0.056,0.057,0.047,0.073
592,E00023785,257.482,43.061,31.016,42.622,51.945,27.443,453.569,1.829,0.306,0.22,0.303,0.369,0.195,3.221,0.049,0.058,0.035,0.041,0.043,0.051,0.049,0.058,0.035,0.041,0.043,0.051
593,E00023560,688.16,123.777,148.246,248.476,177.183,87.353,1473.195,4.064,0.731,0.876,1.468,1.046,0.516,8.701,0.109,0.138,0.14,0.199,0.123,0.135,0.109,0.138,0.14,0.199,0.123,0.135
594,E00023566,717.948,117.481,136.827,223.385,152.302,87.519,1435.462,5.104,0.835,0.973,1.588,1.083,0.622,10.204,0.137,0.157,0.156,0.215,0.127,0.162,0.137,0.157,0.156,0.215,0.127,0.162
595,E00024022,536.409,79.852,88.323,83.767,119.723,55.798,963.873,4.747,0.707,0.782,0.741,1.06,0.494,8.531,0.127,0.133,0.125,0.1,0.124,0.128,0.127,0.133,0.125,0.1,0.124,0.128
596,E00023425,635.47,71.685,58.687,83.204,72.397,56.107,977.55,3.41,0.385,0.315,0.446,0.388,0.301,5.245,0.091,0.073,0.05,0.061,0.045,0.079,0.091,0.073,0.05,0.061,0.045,0.079
597,E00023704,461.317,82.302,78.375,65.321,116.953,55.197,859.464,4.711,0.841,0.8,0.667,1.194,0.564,8.778,0.126,0.158,0.128,0.09,0.14,0.147,0.126,0.158,0.128,0.09,0.14,0.147
598,E00023671,942.227,103.348,157.889,189.666,244.305,99.862,1737.298,5.366,0.589,0.899,1.08,1.391,0.569,9.894,0.144,0.111,0.144,0.147,0.163,0.148,0.144,0.111,0.144,0.147,0.163,0.148
599,E00024053,1134.291,143.28,197.104,185.578,278.571,116.064,2054.888,6.578,0.831,1.143,1.076,1.616,0.673,11.917,0.176,0.157,0.183,0.146,0.189,0.175,0.176,0.157,0.183,0.146,0.189,0.175
600,E00023904,167.816,32.066,23.398,31.723,38.264,20.231,313.499,1.16,0.222,0.162,0.219,0.264,0.14,2.167,0.031,0.042,0.026,0.03,0.031,0.036,0.031,0.042,0.026,0.03,0.031,0.036
601,E00023847,569.31,32.4,37.036,27.364,37.988,28.774,732.872,10.318,0.587,0.671,0.496,0.688,0.521,13.282,0.277,0.111,0.108,0.067,0.081,0.136,0.277,0.111,0.108,0.067,0.081,0.136
602,E00023985,709.251,72.679,136.854,142.415,202.377,69.72,1333.295,7.725,0.792,1.491,1.551,2.204,0.759,14.521,0.207,0.149,0.239,0.211,0.258,0.198,0.207,0.149,0.239,0.211,0.258,0.198
603,E00023835,1489.64,172.418,240.703,339.387,372.061,132.083,2746.291,11.481,1.329,1.855,2.616,2.868,1.018,21.166,0.308,0.251,0.297,0.355,0.336,0.265,0.308,0.251,0.297,0.355,0.336,0.265
604,E00175227,630.1,106.907,80.053,76.801,124.732,65.346,1083.939,6.157,1.045,0.782,0.75,1.219,0.638,10.591,0.165,0.197,0.125,0.102,0.143,0.166,0.165,0.197,0.125,0.102,0.143,0.166
605,E00023955,1797.452,211.039,391.724,559.22,495.679,165.029,3620.143,12.529,1.471,2.73,3.898,3.455,1.15,25.233,0.336,0.277,0.437,0.529,0.405,0.3,0.336,0.277,0.437,0.529,0.405,0.3
606,E00023528,846.732,92.534,107.785,128.71,169.424,79.202,1424.388,9.963,1.089,1.268,1.514,1.993,0.932,16.76,0.267,0.205,0.203,0.205,0.233,0.243,0.267,0.205,0.203,0.205,0.233,0.243
607,E00175249,2249.754,295.735,365.959,388.783,436.175,204.247,3940.653,5.143,0.676,0.837,0.889,0.997,0.467,9.009,0.138,0.127,0.134,0.121,0.117,0.121,0.138,0.127,0.134,0.121,0.117,0.121
608,E00023933,2064.315,235.068,470.857,519.982,575.289,184.241,4049.753,9.817,1.118,2.239,2.473,2.736,0.876,19.259,0.263,0.211,0.359,0.336,0.32,0.228,0.263,0.211,0.359,0.336,0.32,0.228
609,E00175254,302.374,44.065,50.787,54.248,72.124,28.968,552.567,3.364,0.49,0.565,0.603,0.802,0.322,6.147,0.09,0.092,0.091,0.082,0.094,0.084,0.09,0.092,0.091,0.082,0.094,0.084
610,E00023828,1490.691,181.896,237.63,335.354,361.39,139.947,2746.909,9.27,1.131,1.478,2.085,2.247,0.87,17.082,0.248,0.213,0.237,0.283,0.263,0.227,0.248,0.213,0.237,0.283,0.263,0.227
611,E00023608,409.563,66.17,74.301,78.004,107.651,48.379,784.069,3.995,0.646,0.725,0.761,1.05,0.472,7.649,0.107,0.122,0.116,0.103,0.123,0.123,0.107,0.122,0.116,0.103,0.123,0.123
612,E00175192,1393.379,160.117,310.16,333.488,402.465,125.905,2725.514,10.202,1.172,2.271,2.442,2.947,0.922,19.955,0.273,0.221,0.364,0.331,0.345,0.24,0.273,0.221,0.364,0.331,0.345,0.24
