,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
625,E00023951,56.286,7.833,8.824,8.649,13.142,5.265,56.286,7.833,8.824,8.649,13.142,5.265
626,E00024116,58.252,6.481,9.215,9.702,10.69,5.66,58.252,6.481,9.215,9.702,10.69,5.66
627,E00023660,56.338,8.829,7.159,10.64,10.583,6.452,56.338,8.829,7.159,10.64,10.583,6.452
628,E00175228,56.545,7.255,8.414,9.742,12.453,5.591,56.545,7.255,8.414,9.742,12.453,5.591
629,E00023450,54.421,8.593,8.51,11.54,11.042,5.895,54.421,8.593,8.51,11.54,11.042,5.895
630,E00023638,51.28,7.467,10.548,10.041,14.706,5.958,51.28,7.467,10.548,10.041,14.706,5.958
631,E00023966,53.3,8.957,9.235,10.566,12.035,5.907,53.3,8.957,9.235,10.566,12.035,5.907
632,E00024018,61.653,6.901,7.231,9.463,9.132,5.62,61.653,6.901,7.231,9.463,9.132,5.62
633,E00023585,48.63,7.94,9.488,14.079,13.749,6.114,48.63,7.94,9.488,14.079,13.749,6.114
634,E00175234,47.842,6.49,10.072,14.779,14.592,6.225,47.842,6.49,10.072,14.779,14.592,6.225
635,E00023477,49.682,6.573,8.67,14.467,14.505,6.102,49.682,6.573,8.67,14.467,14.505,6.102
636,E00023702,46.197,8.057,12.274,11.22,17.131,5.12,46.197,8.057,12.274,11.22,17.131,5.12
637,E00023783,57.6,12.044,5.6,10.844,7.511,6.4,57.6,12.044,5.6,10.844,7.511,6.4
638,E00024087,52.745,16.039,5.274,9.203,10.334,6.405,52.745,16.039,5.274,9.203,10.334,6.405
639,E00023980,50.831,9.695,12.05,9.141,12.881,5.402,50.831,9.695,12.05,9.141,12.881,5.402
640,E00175261,60.47,13.809,5.994,7.208,6.677,5.842,60.47,13.809,5.994,7.208,6.677,5.842
641,E00023774,49.97,10.347,8.704,12.234,12.234,6.512,49.97,10.347,8.704,12.234,12.234,6.512
642,E00023870,48.174,10.548,8.469,14.706,11.866,6.237,48.174,10.548,8.469,14.706,11.866,6.237
643,E00175189,54.33,6.082,9.523,16.281,9.017,4.766,54.33,6.082,9.523,16.281,9.017,4.766
644,E00023498,54.521,8.478,8.19,9.343,13.162,6.305,54.521,8.478,8.19,9.343,13.162,6.305
645,E00023558,50.426,8.277,10.034,12.86,12.462,5.941,50.426,8.277,10.034,12.86,12.462,5.941
646,E00024032,54.26,7.441,9.955,10.253,12.88,5.212,54.26,7.441,9.955,10.253,12.88,5.212
647,E00023486,54.473,8.027,9.419,10.514,11.919,5.649,54.473,8.027,9.419,10.514,11.919,5.649
648,E00023419,54.354,13.298,5.805,8.602,11.346,6.596,54.354,13.298,5.805,8.602,11.346,6.596
