,OA,[total] - worker_count,[total] - student_count,[total] - tourist_count,[total] - shopper_count,[total] - leisurer_count,[total] - chorer_count,[total] - total_count,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - total_count,[%_of_borough_total] - [per_effective_area_square_meter] - worker,[%_of_borough_total] - [per_effective_area_square_meter] - student,[%_of_borough_total] - [per_effective_area_square_meter] - tourist,[%_of_borough_total] - [per_effective_area_square_meter] - shopper,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[%_of_borough_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_borough_total] - [per_effective_area_square_meter] - chorer
562,E00023527,1243.439,141.783,162.251,156.536,185.665,123.575,2013.248,9.269,1.057,1.21,1.167,1.384,0.921,15.008,0.275,0.172,0.149,0.163,0.168,0.218,0.275,0.172,0.149,0.163,0.168,0.218
563,E00023659,304.23,74.931,49.028,54.393,57.182,43.694,583.458,2.771,0.683,0.447,0.496,0.521,0.398,5.315,0.082,0.111,0.055,0.069,0.063,0.094,0.082,0.111,0.055,0.069,0.063,0.094
564,E00023943,1186.124,93.108,216.212,146.041,186.961,86.502,1914.948,8.136,0.639,1.483,1.002,1.283,0.593,13.136,0.242,0.104,0.182,0.14,0.156,0.14,0.242,0.104,0.182,0.14,0.156,0.14
565,E00023768,93.26,11.648,13.026,8.278,16.017,18.704,160.934,1.398,0.175,0.195,0.124,0.24,0.28,2.413,0.042,0.028,0.024,0.017,0.029,0.066,0.042,0.028,0.024,0.017,0.029,0.066
566,E00023436,299.106,82.922,41.368,49.546,43.766,55.754,572.462,0.986,0.273,0.136,0.163,0.144,0.184,1.886,0.029,0.044,0.017,0.023,0.017,0.044,0.029,0.044,0.017,0.023,0.017,0.044
567,E00023606,501.533,71.694,141.754,175.39,159.961,86.205,1136.537,3.297,0.471,0.932,1.153,1.052,0.567,7.471,0.098,0.077,0.115,0.161,0.128,0.134,0.098,0.077,0.115,0.161,0.128,0.134
568,E00023496,799.562,107.137,133.851,116.815,147.6,93.416,1398.381,7.941,1.064,1.329,1.16,1.466,0.928,13.889,0.236,0.173,0.163,0.162,0.178,0.219,0.236,0.173,0.163,0.162,0.178,0.219
569,E00023687,758.059,87.682,142.022,208.386,138.463,84.178,1418.789,5.496,0.636,1.03,1.511,1.004,0.61,10.287,0.163,0.103,0.127,0.211,0.122,0.144,0.163,0.103,0.127,0.211,0.122,0.144
570,E00175222,272.797,98.5,83.498,72.729,106.423,34.065,668.013,3.428,1.238,1.049,0.914,1.337,0.428,8.394,0.102,0.201,0.129,0.127,0.163,0.101,0.102,0.201,0.129,0.127,0.163,0.101
571,E00175196,5649.197,420.831,1584.748,1450.777,976.305,398.519,10480.378,15.079,1.123,4.23,3.872,2.606,1.064,27.975,0.448,0.183,0.52,0.54,0.317,0.251,0.448,0.183,0.52,0.54,0.317,0.251
