,OA,worker_units,student_units,tourist_units,shopper_units,leisurer_units,chorer_units,[per_effective_area_square_meter] - worker_units,[per_effective_area_square_meter] - student_units,[per_effective_area_square_meter] - tourist_units,[per_effective_area_square_meter] - shopper_units,[per_effective_area_square_meter] - leisurer_units,[per_effective_area_square_meter] - chorer_units,[%_of_borough_total] - [per_effective_area_square_meter] - worker_units,[%_of_borough_total] - [per_effective_area_square_meter] - student_units,[%_of_borough_total] - [per_effective_area_square_meter] - tourist_units,[%_of_borough_total] - [per_effective_area_square_meter] - shopper_units,[%_of_borough_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_borough_total] - [per_effective_area_square_meter] - chorer_units,[per_effective_area_square_meter] - total_units,[%_of_OA_total] - [per_effective_area_square_meter] - worker_units,[%_of_OA_total] - [per_effective_area_square_meter] - student_units,[%_of_OA_total] - [per_effective_area_square_meter] - tourist_units,[%_of_OA_total] - [per_effective_area_square_meter] - shopper_units,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer_units,[%_of_OA_total] - [per_effective_area_square_meter] - chorer_units,worker_value,student_value,tourist_value,shopper_value,leisurer_value,chorer_value,total_value,[per_effective_area_square_meter] - worker_value,[per_effective_area_square_meter] - student_value,[per_effective_area_square_meter] - tourist_value,[per_effective_area_square_meter] - shopper_value,[per_effective_area_square_meter] - leisurer_value,[per_effective_area_square_meter] - chorer_value,[per_effective_area_square_meter] - total_value
150,E00023701,172.065,143.458,152.443,148.23,196.782,163.118,3.125,2.605,2.769,2.692,3.574,2.962,0.311,0.299,0.319,0.295,0.404,0.282,17.727,17.628,14.695,15.62,15.186,20.161,16.709,208.196,173.582,184.453,179.356,238.103,197.37,1181.059,3.781,3.152,3.35,3.257,4.324,3.584,21.449
151,E00023780,78.18,81.154,58.7,69.088,54.958,90.695,0.759,0.788,0.57,0.671,0.534,0.881,0.075,0.091,0.066,0.073,0.06,0.084,4.203,18.059,18.749,13.562,15.965,12.705,20.961,94.596,98.195,71.026,83.595,66.498,109.739,523.65,0.918,0.953,0.69,0.812,0.646,1.065,5.084
152,E00023427,39.623,52.695,33.173,29.597,24.437,41.157,0.37,0.492,0.31,0.276,0.228,0.384,0.037,0.057,0.036,0.03,0.026,0.037,2.06,17.961,23.883,15.049,13.398,11.068,18.641,47.943,63.76,40.139,35.812,29.568,49.799,267.021,0.447,0.595,0.375,0.334,0.276,0.465,2.492
153,E00023483,170.135,140.36,135.123,138.734,136.595,168.012,0.829,0.684,0.658,0.676,0.666,0.819,0.082,0.079,0.076,0.074,0.075,0.078,4.332,19.137,15.789,15.189,15.605,15.374,18.906,205.86,169.833,163.496,167.866,165.278,203.292,1075.625,1.003,0.828,0.797,0.818,0.805,0.991,5.241
154,E00023772,34.691,30.136,38.694,40.609,47.117,43.918,0.447,0.389,0.499,0.524,0.608,0.566,0.044,0.045,0.058,0.057,0.069,0.054,3.033,14.738,12.826,16.452,17.277,20.046,18.661,41.976,36.464,46.819,49.136,57.011,53.14,284.546,0.541,0.47,0.604,0.634,0.735,0.685,3.669
155,E00023578,191.348,161.01,137.966,131.717,136.49,187.91,1.295,1.09,0.934,0.891,0.924,1.272,0.129,0.125,0.108,0.098,0.104,0.121,6.406,20.215,17.015,14.58,13.909,14.424,19.856,231.528,194.819,166.936,159.375,165.151,227.368,1145.177,1.567,1.318,1.13,1.079,1.118,1.539,7.75
156,E00024029,57.698,65.582,73.354,59.06,70.61,53.857,0.405,0.461,0.515,0.415,0.496,0.378,0.04,0.053,0.059,0.045,0.056,0.036,2.67,15.169,17.266,19.288,15.543,18.577,14.157,69.814,79.353,88.757,71.462,85.437,65.166,459.988,0.49,0.557,0.623,0.502,0.6,0.458,3.231
157,E00023546,51.505,40.087,34.278,32.418,29.958,66.421,0.451,0.351,0.3,0.284,0.262,0.582,0.045,0.04,0.035,0.031,0.03,0.055,2.23,20.224,15.74,13.453,12.735,11.749,26.099,62.32,48.505,41.476,39.225,36.249,80.368,308.143,0.546,0.425,0.363,0.343,0.317,0.704,2.698
158,E00024097,93.57,123.182,77.18,82.999,76.579,99.889,0.68,0.895,0.561,0.603,0.556,0.726,0.068,0.103,0.065,0.066,0.063,0.069,4.021,16.911,22.258,13.952,14.996,13.827,18.055,113.218,149.048,93.386,100.427,92.659,120.864,669.603,0.823,1.083,0.679,0.73,0.673,0.878,4.866
159,E00024016,48.629,45.979,46.425,40.747,45.779,53.011,0.838,0.792,0.8,0.702,0.789,0.913,0.083,0.091,0.092,0.077,0.089,0.087,4.834,17.336,16.384,16.549,14.522,16.322,18.887,58.84,55.634,56.173,49.303,55.392,64.142,339.485,1.014,0.959,0.968,0.85,0.954,1.105,5.85
