,OA,Value_band,Banding Description,[mean] - Value,[median] - Value,[total] - Value
760,E00175258,18.0,£501K - £600K,603333.333,571666.667,25228500.0
761,E00175259,28.0,£4m - £5m,3509500.0,3007500.0,56132750.0
762,E00175260,14.0,£351K - £375K,372000.0,362600.0,7570800.0
763,E00175261,14.0,£351K - £375K,367600.0,358800.0,7641600.0
764,E00175262,18.0,£501K - £600K,511428.571,487428.571,8698571.429
765,E00175263,17.0,£451K - £500K,517500.0,504000.0,31239000.0
766,E00175264,25.0,£1.5m - £2m,1739000.0,1515500.0,130206000.0
767,E00175265,16.0,£401K - £450K,413400.0,399200.0,10139200.0
768,E00175266,15.0,£376K - £400K,477714.286,461428.571,8071714.286
769,E00175267,17.0,£451K - £500K,493000.0,475000.0,17338000.0
770,E00175268,16.0,£401K - £450K,471500.0,452000.0,29976500.0
771,E00175269,16.0,£401K - £450K,463250.0,437500.0,11142500.0
772,E00175270,17.0,£451K - £500K,465800.0,440200.0,12387400.0
773,E00175271,19.0,£601K - £700K,550000.0,530750.0,20174000.0
774,E00175272,14.0,£351K - £375K,404000.0,389500.0,8614500.0
775,E00175273,15.0,£376K - £400K,417000.0,405333.333,15512666.667
776,E00175274,17.0,£451K - £500K,486000.0,465500.0,24067500.0
777,E00175275,16.0,£401K - £450K,513250.0,487750.0,21357000.0
778,E00175276,18.0,£501K - £600K,531166.667,509000.0,10083500.0
779,E00175277,11.0,£276K - £300K,304000.0,292500.0,21563000.0
780,E00175278,18.0,£501K - £600K,532625.0,524000.0,11062125.0
781,E00175279,11.0,£276K - £300K,447000.0,425333.333,8882166.667
