,OA,Value_band,Banding Description,[mean] - Value,[median] - Value,[total] - Value
110,E00023525,25.0,£1.5m - £2m,1577000.0,1197500.0,11533000.0
111,E00023526,25.0,£1.5m - £2m,2266071.429,1577142.857,17600928.571
112,E00023527,23.0,£1m - £1.25m,1692937.5,1196083.333,7726104.167
113,E00023528,23.0,£1m - £1.25m,1376222.222,1088888.889,11580444.444
114,E00023529,26.0,£2m - £3m,1942750.0,1307458.333,14319291.667
115,E00023530,19.0,£601K - £700K,591000.0,526285.714,8363285.714
116,E00023531,13.0,£326K - £350K,408200.0,358200.0,8689600.0
117,E00023532,9.0,£226K - £250K,270000.0,253000.0,9879333.333
118,E00023533,25.0,£1.5m - £2m,1603666.667,1267333.333,67843000.0
119,E00023534,25.0,£1.5m - £2m,1380642.857,1057142.857,36533714.286
120,E00023535,19.0,£601K - £700K,646500.0,604250.0,17518500.0
121,E00023536,18.0,£501K - £600K,539750.0,497750.0,16043250.0
122,E00023537,26.0,£2m - £3m,1920909.091,1629909.091,20504545.455
123,E00023538,17.0,£451K - £500K,507666.667,495666.667,23503666.667
124,E00023539,17.0,£451K - £500K,490666.667,466666.667,27482333.333
125,E00023540,19.0,£601K - £700K,641142.857,611428.571,15874428.571
126,E00023541,14.0,£351K - £375K,418000.0,384000.0,14911000.0
127,E00023542,15.0,£376K - £400K,488666.667,462000.0,22128666.667
128,E00023543,14.0,£351K - £375K,429000.0,411666.667,12172666.667
129,E00023544,18.0,£501K - £600K,534500.0,527500.0,13285000.0
130,E00023545,26.0,£2m - £3m,2267636.364,1862454.545,20862636.364
131,E00023546,25.0,£1.5m - £2m,2034000.0,1416000.0,93222000.0
132,E00023547,12.0,£301K - £325K,395000.0,381000.0,12763750.0
133,E00023548,17.0,£451K - £500K,484750.0,474000.0,18051500.0
134,E00023549,18.0,£501K - £600K,534500.0,525000.0,30138000.0
135,E00023550,17.0,£1m - £1.25m,779500.0,750250.0,20493500.0
136,E00023551,18.0,£501K - £600K,517666.667,507333.333,26397333.333
137,E00023552,15.0,£376K - £400K,389000.0,373500.0,13388000.0
138,E00023554,16.0,£401K - £450K,436333.333,421000.0,20224333.333
139,E00023555,17.0,£451K - £500K,465600.0,458200.0,12591400.0
140,E00023556,18.0,£501K - £600K,666750.0,628750.0,20245750.0
141,E00023557,28.0,£4m - £5m,5650800.0,3531600.0,174230600.0
142,E00023558,19.0,£601K - £700K,632333.333,595333.333,17784000.0
143,E00023559,27.0,£3m - £4m,3005461.538,1743153.846,30425846.154
144,E00023560,28.0,£4m - £5m,3338083.333,2034750.0,29828750.0
145,E00023561,24.0,£1.25m - £1.5m,1150400.0,714200.0,26141600.0
146,E00023562,8.0,£201K - £225K,224250.0,210000.0,5848500.0
147,E00023564,13.0,£326K - £350K,382250.0,373000.0,17010750.0
148,E00023565,16.0,£401K - £450K,501400.0,488400.0,9455000.0
149,E00023566,16.0,£401K - £450K,551000.0,512000.0,16645285.714
150,E00023567,18.0,£501K - £600K,861222.222,781222.222,15701444.444
151,E00023569,16.0,£401K - £450K,430750.0,404375.0,11813625.0
