,OA,[per_effective_area_square_meter] - worker_count,[per_effective_area_square_meter] - student_count,[per_effective_area_square_meter] - tourist_count,[per_effective_area_square_meter] - shopper_count,[per_effective_area_square_meter] - leisurer_count,[per_effective_area_square_meter] - chorer_count,[per_effective_area_square_meter] - resident_count,[per_effective_area_square_meter] - visitors_total_count,[per_effective_area_square_meter] - total_count,[shared_scale] - [per_effective_area_square_meter] - worker_count,[shared_scale] - [per_effective_area_square_meter] - student_count,[shared_scale] - [per_effective_area_square_meter] - tourist_count,[shared_scale] - [per_effective_area_square_meter] - shopper_count,[shared_scale] - [per_effective_area_square_meter] - leisurer_count,[shared_scale] - [per_effective_area_square_meter] - chorer_count,[shared_scale] - [per_effective_area_square_meter] - resident_count
666,E00023788,1.301,0.414,0.31,0.534,0.361,0.25,3.884,3.17,7.054,1.301,0.414,0.31,0.534,0.361,0.25,3.884
667,E00024123,10.742,2.128,2.215,2.06,1.858,1.313,2.779,20.316,23.095,10.742,2.128,2.215,2.06,1.858,1.313,2.779
668,E00023623,6.665,1.044,1.834,1.289,1.753,0.918,1.593,13.503,15.096,6.665,1.044,1.834,1.289,1.753,0.918,1.593
669,E00023590,2.519,0.769,0.45,0.809,0.466,0.483,3.345,5.496,8.841,2.519,0.769,0.45,0.809,0.466,0.483,3.345
670,E00023511,6.043,2.218,0.836,1.43,1.27,1.11,7.03,12.907,19.937,6.043,2.218,0.836,1.43,1.27,1.11,7.03
671,E00024099,1.559,1.381,0.334,0.284,0.306,0.3,4.487,4.164,8.651,1.559,1.381,0.334,0.284,0.306,0.3,4.487
672,E00024041,3.833,0.55,0.902,0.581,0.92,0.684,2.772,7.47,10.242,3.833,0.55,0.902,0.581,0.92,0.684,2.772
673,E00023504,10.54,2.074,2.339,1.869,2.422,1.775,1.539,21.019,22.558,10.54,2.074,2.339,1.869,2.422,1.775,1.539
674,E00023972,0.901,0.27,0.399,0.194,0.35,0.083,1.492,2.197,3.689,0.901,0.27,0.399,0.194,0.35,0.083,1.492
675,E00023668,4.752,0.423,1.027,1.475,1.089,0.516,1.13,9.282,10.412,4.752,0.423,1.027,1.475,1.089,0.516,1.13
676,E00023573,5.446,1.198,1.429,1.936,1.149,0.783,3.853,11.941,15.794,5.446,1.198,1.429,1.936,1.149,0.783,3.853
677,E00175212,10.938,0.952,1.961,1.234,1.94,0.966,1.134,17.991,19.125,10.938,0.952,1.961,1.234,1.94,0.966,1.134
678,E00024091,1.582,1.056,0.472,0.246,0.336,0.271,3.084,3.963,7.047,1.582,1.056,0.472,0.246,0.336,0.271,3.084
679,E00024010,3.576,0.446,0.63,0.48,0.714,0.488,5.109,6.334,11.443,3.576,0.446,0.63,0.48,0.714,0.488,5.109
