,OA,[%_of_OA_total] - [per_effective_area_square_meter] - worker,[%_of_OA_total] - [per_effective_area_square_meter] - student,[%_of_OA_total] - [per_effective_area_square_meter] - tourist,[%_of_OA_total] - [per_effective_area_square_meter] - shopper,[%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[%_of_OA_total] - [per_effective_area_square_meter] - chorer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - worker,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - student,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - tourist,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - shopper,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - leisurer,[shared_scale] - [%_of_OA_total] - [per_effective_area_square_meter] - chorer
63,E00024115,20.472,12.526,16.299,19.545,15.825,15.333,20.472,12.526,16.299,19.545,15.825,15.333
64,E00024030,18.789,16.721,16.662,14.239,16.839,16.75,18.789,16.721,16.662,14.239,16.839,16.75
65,E00023567,15.135,14.941,15.032,20.91,13.755,20.227,15.135,14.941,15.032,20.91,13.755,20.227
66,E00023622,16.096,13.291,19.686,14.099,19.448,17.38,16.096,13.291,19.686,14.099,19.448,17.38
67,E00023632,16.755,14.655,15.974,17.43,16.544,18.643,16.755,14.655,15.974,17.43,16.544,18.643
68,E00023858,15.945,24.734,11.451,13.415,12.75,21.704,15.945,24.734,11.451,13.415,12.75,21.704
69,E00023765,19.217,16.157,14.452,15.304,15.42,19.45,19.217,16.157,14.452,15.304,15.42,19.45
70,E00023979,18.534,22.101,13.147,12.986,12.719,20.514,18.534,22.101,13.147,12.986,12.719,20.514
71,E00175230,20.218,15.066,12.994,14.59,11.985,25.147,20.218,15.066,12.994,14.59,11.985,25.147
72,E00023591,18.222,20.342,12.116,16.229,12.781,20.31,18.222,20.342,12.116,16.229,12.781,20.31
73,E00023510,19.807,14.955,15.547,16.758,15.711,17.222,19.807,14.955,15.547,16.758,15.711,17.222
74,E00023581,16.04,17.422,15.369,17.91,13.478,19.78,16.04,17.422,15.369,17.91,13.478,19.78
75,E00023441,16.519,17.371,15.275,14.778,16.092,19.964,16.519,17.371,15.275,14.778,16.092,19.964
76,E00024071,18.646,15.542,17.745,12.157,14.54,21.37,18.646,15.542,17.745,12.157,14.54,21.37
77,E00023867,17.327,19.0,13.6,19.564,13.418,17.091,17.327,19.0,13.6,19.564,13.418,17.091
78,E00024061,18.064,14.415,18.742,14.37,17.174,17.235,18.064,14.415,18.742,14.37,17.174,17.235
79,E00024140,19.926,13.633,14.75,20.871,14.156,16.664,19.926,13.633,14.75,20.871,14.156,16.664
80,E00023726,15.664,16.57,19.059,13.754,18.962,15.992,15.664,16.57,19.059,13.754,18.962,15.992
81,E00023879,16.86,17.232,13.237,18.254,12.169,22.248,16.86,17.232,13.237,18.254,12.169,22.248
82,E00023529,21.494,15.539,13.683,14.545,13.535,21.204,21.494,15.539,13.683,14.545,13.535,21.204
83,E00023443,16.379,16.992,11.699,17.716,12.758,24.457,16.379,16.992,11.699,17.716,12.758,24.457
84,E00023458,17.332,14.946,15.128,15.609,14.797,22.187,17.332,14.946,15.128,15.609,14.797,22.187
85,E00024138,15.066,14.27,17.713,16.977,22.993,12.982,15.066,14.27,17.713,16.977,22.993,12.982
86,E00023922,12.921,9.23,27.97,9.51,30.417,9.952,12.921,9.23,27.97,9.51,30.417,9.952
87,E00023541,19.194,15.217,13.118,14.968,12.925,24.579,19.194,15.217,13.118,14.968,12.925,24.579
88,E00024126,18.083,18.405,15.066,16.014,15.371,17.06,18.083,18.405,15.066,16.014,15.371,17.06
89,E00023993,18.192,14.764,15.933,14.199,17.316,19.595,18.192,14.764,15.933,14.199,17.316,19.595
90,E00023460,16.391,22.15,15.023,15.167,15.983,15.287,16.391,22.15,15.023,15.167,15.983,15.287
91,E00023806,18.898,17.203,13.051,14.492,13.644,22.712,18.898,17.203,13.051,14.492,13.644,22.712
92,E00023438,20.084,23.233,13.786,12.246,12.386,18.265,20.084,23.233,13.786,12.246,12.386,18.265
93,E00023795,19.007,15.123,13.658,16.269,13.594,22.35,19.007,15.123,13.658,16.269,13.594,22.35
94,E00023861,17.257,17.544,13.763,18.119,13.38,19.938,17.257,17.544,13.763,18.119,13.38,19.938
95,E00023570,17.734,16.133,14.854,17.627,14.269,19.383,17.734,16.133,14.854,17.627,14.269,19.383
96,E00024013,18.726,13.8,15.215,15.959,15.863,20.437,18.726,13.8,15.215,15.959,15.863,20.437
97,E00024092,18.511,14.642,14.827,16.05,16.267,19.703,18.511,14.642,14.827,16.05,16.267,19.703
98,E00175235,16.433,15.545,14.144,18.654,12.914,22.31,16.433,15.545,14.144,18.654,12.914,22.31
99,E00023845,17.256,14.296,14.696,22.414,14.685,16.653,17.256,14.296,14.696,22.414,14.685,16.653
100,E00023864,16.879,18.519,13.44,17.927,13.394,19.841,16.879,18.519,13.44,17.927,13.394,19.841
101,E00023989,17.762,13.989,16.405,14.9,17.084,19.86,17.762,13.989,16.405,14.9,17.084,19.86
102,E00023536,16.752,15.177,15.147,18.722,15.844,18.358,16.752,15.177,15.147,18.722,15.844,18.358
103,E00023664,17.582,15.313,15.189,17.845,15.465,18.606,17.582,15.313,15.189,17.845,15.465,18.606
104,E00023433,21.415,28.399,12.197,9.59,10.894,17.505,21.415,28.399,12.197,9.59,10.894,17.505
105,E00175181,20.169,15.039,15.946,14.957,16.234,17.656,20.169,15.039,15.946,14.957,16.234,17.656
106,E00024113,20.543,12.203,16.442,18.897,17.273,14.641,20.543,12.203,16.442,18.897,17.273,14.641
107,E00023672,17.316,13.69,18.506,11.742,16.071,22.673,17.316,13.69,18.506,11.742,16.071,22.673
108,E00023759,20.079,14.754,17.021,14.574,15.581,17.992,20.079,14.754,17.021,14.574,15.581,17.992
109,E00023881,16.788,15.418,14.282,19.105,13.99,20.417,16.788,15.418,14.282,19.105,13.99,20.417
