OA,energy,vehicle,recycle,none
E00023416,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023421,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023423,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023424,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023425,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023428,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023882,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023883,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023887,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023891,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023892,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023895,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023896,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023897,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023898,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023899,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023900,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023901,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023902,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023903,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023905,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023906,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023907,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023908,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023909,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023910,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023911,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023912,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023913,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023914,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023917,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00023918,0.6595744680851063,0.7446808510638298,0.6170212765957447,0.06382978723404255
E00175242,0.7708333333333334,0.625,0.625,0.14583333333333334
E00023849,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023851,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023852,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023853,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023854,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023855,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023856,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023857,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023858,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023860,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023861,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023862,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023863,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023864,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023865,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023866,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023867,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023872,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023873,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023874,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023875,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023876,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023877,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023878,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023879,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00175260,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00175261,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00175262,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
E00023585,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023586,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023587,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023588,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023589,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023590,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023591,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023592,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023593,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023595,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023596,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023597,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023598,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023599,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023601,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023603,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023604,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023606,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023610,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023611,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023612,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023613,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023615,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023616,0.6578947368421053,0.6578947368421053,0.6842105263157895,0.13157894736842105
E00023859,0.8571428571428571,0.6071428571428571,0.7678571428571429,0.0
